"last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
"Clement, Ernie","676391","117","17.9",32.5,"109.7","86.4","95.9","90.7","85.4","372","157","360","31",26.5,"0",0,0
"Arraez, Luis","650333","116","13.9",35.3,"98.1","86.6","93.6","87.8","86.2","376","151",,"22",19,"0",0,0
"Hoerner, Nico","663538","115","16.5",39.1,"105.8","86.3","95.8","89.1","85.9","400","178","383","30",26.1,"3",2.6,2.1
"Wilson, Jacob","805779","114","8.1",31.6,"105.4","85.5","96.5","87.2","85.8","386","138","377","36",31.6,"2",1.8,1.5
"Simpson, Chandler","802415","112","1.9",30.4,"106.3","83.6","92.9","86.2","83.5","335","111",,"15",13.5,"0",0,0
"Albies, Ozzie","645277","110","16.4",37.3,"107.7","87","97.7","91.5","83.1","400","179","382","34",30.9,"5",4.5,3.7
"Alvarez, Yordan","670541","105","19.5",45.7,"117.8","93.6","104.7","95.7","90.1","424","221","393","52",49.5,"19",18.1,13.3
"Bregman, Alex","608324","104","15.5",26.9,"108.3","90.4","99.6","93.5","90","408","148","395","47",45.2,"8",7.7,5.6
"Lile, Daylen","695734","103","16.3",41.7,"109.5","87.7","98.1","90.1","84.5","418","186","400","39",38.2,"5",4.9,3.6
"Adell, Jo","666176","103","18.3",26.2,"113.2","90.3","101.8","92.3","88.9","445","164","407","47",45.6,"6",5.8,4.3
"Burleson, Alec","676475","102","7.8",30.4,"111.6","91.5","101.7","96.8","87","432","153","420","48",47.1,"12",11.8,8.9
"Baldwin, Drake","686948","102","11.4",41.2,"110.2","90.9","102.8","98.1","84.6","438","170","400","50",49,"14",13.7,9.6
"Freeman, Freddie","518692","102","10.9",36.3,"110.3","92","101.6","96.2","86.9","438","179","412","49",48,"14",13.7,10.9
"Keaschall, Luke","807712","101","17.6",29.7,"105.4","84.3","95.5","89.4","81.9","384","165","367","23",22.8,"3",3,2.3
"Bichette, Bo","666182","101","6.7",35.6,"111.5","91.6","101.6","94.2","91","391","143","365","49",48.5,"4",4,2.9
"Kwan, Steven","680757","100","12.6",34,"100.8","82.1","91.7","86.4","80.4","381","134","381","10",10.1,"1",1,0.8
"Witt Jr., Bobby","677951","100","18.6",35,"115.6","92.6","103.6","96.3","92.9","427","180","408","51",51,"12",12,8.6
"Edwards, Xavier","669364","99","10.5",37.4,"105.7","89.3","97.9","92.4","86.9","394","154","377","41",41.4,"5",5.1,3.8
"McGonigle, Kevin","805808","99","19.5",45.5,"109.5","88.7","99.6","93.9","77.2","408","204","407","40",40.4,"13",13.1,9.6
"Ramírez, José","608070","99","22.3",35.4,"110.8","90.5","100.6","93.8","88.1","408","205","392","44",44.9,"11",11.1,8
"Turner, Trea","607208","99","14.6",32.3,"109.7","89.8","99.1","89.8","91.6","423","164","383","37",37.4,"5",5.1,3.6
"Díaz, Yandy","650490","99","4.6",29.3,"112.8","90.4","102.1","93.6","89.4","391","144","366","44",44.9,"6",6.1,4.5
"Nimmo, Brandon","607043","98","11.2",33.7,"109","90.8","100.9","95.2","86.6","410","168","396","46",46.9,"10",10.2,7.1
"Guerrero Jr., Vladimir","665489","98","7",33.7,"116","91.2","103.4","93","90.3","437","146","434","45",45.9,"12",12.2,9.2
"Contreras, William","661388","97","13.1",26.8,"111.6","89.6","100.6","95.4","87","419","152","404","42",43.3,"8",8.2,6.5
"Caminero, Junior","691406","96","12.6",25,"116.9","91.3","104.3","95.6","91.4","450","143","407","42",44.2,"10",10.4,7.6
"Lee, Jung Hoo","808982","96","12.2",36.5,"107.6","89.3","97.7","90.9","89","374","170","363","34",35.4,"3",3.1,2.5
"Schanuel, Nolan","694384","96","9",31.3,"106.6","86.4","96.6","89.4","85.2","383","137","364","29",30.2,"2",2.1,1.6
"Perez, Salvador","521692","96","16.2",30.2,"111.2","87.3","100","91.2","84.8","425","163","396","38",39.6,"10",10.4,7.9
"Rumfield, TJ","681198","95","12.3",37.9,"107.6","87","99","93","81","440","173","417","37",38.9,"8",8.4,6.3
"Rodríguez, Julio","677594","95","8.7",30.5,"111.3","88.2","101","93.2","84.8","426","145","414","38",40,"6",6.3,4.3
"Ward, Taylor","621493","95","14.8",38.9,"109.5","89.6","99.4","92.4","87.2","404","177","394","36",37.9,"5",5.3,3.5
"Walker, Christian","572233","94","12.9",30.9,"112.2","90.2","102.4","94.6","86.2","432","161","399","46",48.9,"12",12.8,9.2
"Wetherholt, JJ","802139","94","18.4",36.2,"108.7","90","99.7","95.3","82.7","425","193","394","42",44.7,"9",9.6,6.3
"Langeliers, Shea","669127","94","19.5",41.5,"114.4","93.1","103.8","94.5","93.8","467","200","411","46",48.9,"14",14.9,10.3
"Naylor, Josh","647304","93","16.9",33.3,"111.5","87.4","98.5","92.4","87","433","154","402","35",37.6,"7",7.5,5.6
"Marte, Ketel","606466","93","7.6",33.3,"116.9","92.6","104.1","94.1","92.4","443","151","411","45",48.4,"9",9.7,7.1
"Harper, Bryce","547180","93","14.5",35.5,"112.5","87.8","100.2","94.3","82.1","425","174","411","35",37.6,"12",12.9,9.1
"Lopez, Otto","672640","93","6.1",28,"112.8","92.3","102.4","94.7","90.3","401","158","390","46",49.5,"9",9.7,7.1
"Olson, Matt","621566","93","16.5",35.5,"111.6","92.7","104.7","98.2","87.7","441","186","412","46",49.5,"17",18.3,11.9
"Stewart, Sal","701398","92","14.4",39.1,"111.4","91.2","102.4","95.1","86.5","424","184","391","41",44.6,"19",20.7,14.2
"Abreu, Wilyer","677800","92","14.2",32.6,"113.1","90","101.8","94.4","85.2","403","182","380","44",47.8,"11",12,8.7
"Garcia, Maikel","672580","92","12",35.9,"110.2","90.3","100.9","93.1","90.1","412","177","398","41",44.6,"8",8.7,6.3
"Bogaerts, Xander","593428","92","11.3",34.8,"110.4","88.9","100.3","92.6","86.3","399","161","385","36",39.1,"7",7.6,5.7
"Acuña Jr., Ronald","660670","92","16.3",31.5,"112.3","89.1","101.5","95.5","84.6","411","168","411","39",42.4,"12",13,8.3
"Bellinger, Cody","641355","92","19.2",37,"107.8","88.8","98.5","91.3","89.3","399","178","384","37",40.2,"6",6.5,4.7
"Torres, Gleyber","650402","91","4.9",37.4,"103.9","82.9","94.8","88.2","77.9","397","144","376","23",25.3,"5",5.5,3.6
"Giménez, Andrés","665926","90","10.9",26.7,"108.9","86.5","96.2","89.2","85.9","406","150","386","25",27.8,"3",3.3,2.7
"Rocchio, Brayan","677587","90","10",26.7,"108.1","84.9","96.6","88.1","85.4","402","135","379","24",27.3,"2",2.2,1.8
"Bohm, Alec","664761","89","10.5",36,"108.8","88.7","98.9","93.1","87.5","391","144","354","34",38.2,"1",1.1,0.8
"Dubón, Mauricio","643289","89","17.1",33.7,"106.3","87.2","97.2","90.3","86.3","413","170","393","28",31.5,"6",6.7,5.1
"Bell, Josh","605137","89","17",37.1,"107.9","89","99.4","94.3","82.2","401","190","392","38",42.7,"9",10.1,7.1
"Chapman, Matt","656305","89","6.5",21.3,"113","87.6","100.1","94.3","86.4","386","119","349","30",33.7,"4",4.5,3
"DeLauter, Chase","800050","89","16.6",39.3,"111.2","89.3","99.5","92.9","88.6","422","172","381","33",37.5,"8",9,6.9
"Altuve, Jose","514888","88","5.9",31.8,"105.9","85.3","97.4","93.6","81.3","389","133","378","32",36.4,"6",6.8,4.7
"Semien, Marcus","543760","88","19.1",33,"107.5","86.9","97","91.2","79.7","407","192","407","30",34.1,"6",6.8,5
"Riley, Austin","663586","88","18.4",26.1,"111.5","90","101","94.7","87.6","400","157","385","38",43.2,"7",8,5.2
"Henderson, Gunnar","683002","88","17.8",36.4,"111.2","89.7","100.9","96.9","82.7","410","183","388","41",46.6,"10",11.4,6.9
"Herrera, Iván","671056","88","10.5",29.5,"112.3","90.2","102.2","95.6","88.4","429","150","400","41",46.6,"8",9.1,5.6
"Buxton, Byron","621439","88","23.9",35.2,"109.3","88.6","100.6","94.6","81.2","438","203","400","40",45.5,"14",15.9,10.4
"Tucker, Kyle","663656","88","16.1",36.4,"107.2","89.2","99","92.1","85.7","435","181","404","37",42,"7",8,5.3
"Arozarena, Randy","668227","87","7.1",39.1,"113","90.1","100","93.8","87.4","426","152","387","34",39.1,"6",6.9,4.5
"Hicks, Liam","689414","87","12",35.6,"106.5","88.3","99","91.3","86.6","398","167","371","35",40.2,"7",8,6.7
"Abrams, CJ","682928","87","15.5",34.5,"110.8","89.7","101.1","92.3","88.1","426","174","388","40",46,"11",12.6,8.4
"O'Hearn, Ryan","656811","87","11",35.6,"108.1","90.3","100.7","94.6","86.1","402","166","388","41",47.1,"7",8,5.5
"Young, Cole","702284","86","19.6",40.7,"111.3","88.4","99.5","92.7","86.2","423","182","395","35",40.7,"8",9.3,6.3
"Raleigh, Cal","663728","86","22.4",33.7,"109.9","86.9","99.4","93","74.5","418","203","390","27",31.4,"12",14,8.5
"Correa, Carlos","621043","86","6",34.9,"113.1","89.6","102.1","95.1","85.6","411","143","397","36",41.9,"8",9.3,6.6
"Vargas, Miguel","678246","86","17.1",40.7,"111.7","89.1","100.6","94.8","80.7","428","191","396","38",44.2,"11",12.8,8.2
"Marsee, Jakob","805300","86","18",27.9,"110.9","88.1","98.8","91.5","86.6","398","166","351","33",38.4,"2",2.3,1.4
"Pages, Andy","681624","86","16.3",34.9,"109.2","90.3","101.7","92.9","90.6","412","175","392","46",53.5,"5",5.8,4.1
"Merrill, Jackson","701538","86","13",31.4,"108.6","88.6","100.4","96.8","80.6","425","167","399","38",44.2,"9",10.5,7
"Tatis Jr., Fernando","665487","85","3.2",36.5,"113.5","93.7","106.1","98.9","90.1","370","153",,"55",64.7,"12",14.1,9.2
"Soderstrom, Tyler","691016","85","14",30.6,"113.2","90","102.4","97.4","82.2","420","173","407","41",48.2,"11",12.9,8.9
"Meidroth, Chase","805367","85","8.2",29.4,"107.7","87.9","97.9","92.4","85.4","417","134","417","32",37.6,"4",4.7,3.1
"Busch, Michael","683737","85","13.2",28.2,"107.1","85.2","97.1","90.3","80.2","421","148","398","28",32.9,"7",8.2,5.3
"Harris II, Michael","671739","84","6.7",29.8,"114.9","94.8","105.8","98.6","91.9","425","155","391","47",56,"15",17.9,13.9
"Burger, Jake","669394","84","9.6",29.8,"113.6","89.1","102.3","94.7","84.6","438","158","404","40",47.6,"8",9.5,6.2
"Story, Trevor","596115","84","12.9",32.1,"109.6","89.6","99.2","92","87.7","411","159","407","36",42.9,"3",3.6,2.3
"De La Cruz, Elly","682829","84","15.9",32.1,"115.3","95.2","106.1","95.3","95.1","442","173","394","46",54.8,"14",16.7,10.1
"García Jr., Luis","671277","84","11.5",28.6,"110.9","92.4","101.9","94.7","91.6","405","149","405","39",46.4,"5",6,4.8
"Pasquantino, Vinnie","686469","83","17.6",32.5,"108.1","88.2","98.5","93.2","83.6","422","173","391","29",34.9,"6",7.2,4.8
"Gonzales, Nick","693304","83","5.8",34.9,"109.7","87.5","99","91.4","84.8","372","139",,"35",42.2,"1",1.2,0.9
"Jung, Josh","673962","83","11.5",41,"107.8","91.9","101","94.8","88.4","412","170","375","44",53,"5",6,4.4
"Alonso, Pete","624413","83","12.8",28.9,"109.5","94.8","102.5","96.7","93.3","410","173","397","46",55.4,"7",8.4,5.2
"Durbin, Caleb","702332","83","5.1",22.9,"106","85.9","96.6","90","84.6","386","108","386","25",30.1,"1",1.2,0.9
"Young, Jacob","696285","83","9.4",39.8,"107.8","89.3","98.2","89.5","89.7","387","157","383","29",34.9,"4",4.8,3.7
"Devers, Rafael","646240","82","10.2",31.7,"110.3","89.8","100.7","94.4","86.2","411","164","408","34",41.5,"6",7.3,4.7
"Neto, Zach","687263","82","20.8",37.8,"107","88.6","98.5","94.4","78.4","443","187","397","29",35.4,"9",11,6
"Friedl, TJ","670770","82","18.7",25.6,"106.4","87.2","97.3","88.7","87.1","397","146","364","24",29.3,"2",2.4,1.6
"Adames, Willy","642715","82","22.7",34.1,"107.4","88.4","99.2","93","83.7","402","186","375","33",40.2,"8",9.8,6.2
"McNeil, Jeff","643446","81","11.1",38.3,"105","87.1","96.6","90.3","85","395","148","395","27",33.3,"1",1.2,1
"Paredes, Isaac","670623","81","24.3",33.3,"105.3","87.5","96.1","90.6","84.6","383","187","374","21",25.9,"2",2.5,1.8
"McLain, Matt","680574","80","22.2",32.5,"110.5","88.3","98","90","89.7","421","178","420","26",32.5,"7",8.8,5.2
"Vargas, Ildemaro","545121","80","7.2",40,"108.9","87.2","98.5","92.1","82.7","431","156","395","28",35,"5",6.3,5.3
"Ramírez, Agustín","682663","80","7.1",27.5,"114.9","88.6","101.5","93","88.2","418","134","415","31",38.8,"4",5,3.4
"García, Adolis","666969","80","14.3",36.3,"109.5","93","101.7","94.9","93.2","405","170","377","40",50,"7",8.8,5.6
"Caballero, José","676609","80","9.4",30,"108.2","82.8","96.2","90.9","77.2","370","114","355","22",27.5,"2",2.5,1.8
"Trout, Mike","545361","79","20.7",36.7,"114.6","92.8","104.7","97.3","86.4","446","221","411","41",51.9,"20",25.3,13.9
"Ohtani, Shohei","660271","79","12.4",36.7,"114.6","94.5","103.8","97.2","91.8","438","183","400","41",51.9,"17",21.5,12.2
"Tovar, Ezequiel","678662","79","14.9",43,"108.9","87.1","99.1","93.4","79.5","401","177","401","29",36.7,"6",7.6,5
"Frelick, Sal","686217","79","10.3",27.8,"106.7","86.1","96.9","88.1","86.3","407","132","402","21",26.6,"3",3.8,2.8
"Seager, Corey","608369","79","12.7",36.7,"110.3","90.3","101.5","94.7","86.5","422","167","402","34",43,"11",13.9,8.5
"Arenado, Nolan","571448","79","21.3",34.2,"107.5","83.2","94.9","87.4","81.3","411","171","400","20",25.3,"6",7.6,5.7
"Crow-Armstrong, Pete","691718","79","20.1",22.8,"111.5","91.2","102.5","94","91.3","410","145","385","37",46.8,"6",7.6,4.7
"Diaz, Yainer","673237","79","6.5",24.1,"109.6","87.9","97.8","91.3","86.7","387","126","380","22",27.8,"3",3.8,3.1
"Perdomo, Geraldo","672695","79","9.6",30.4,"106.3","85.8","96.3","87.3","84.4","398","128","398","20",25.3,"2",2.5,1.8
"Aranda, Jonathan","666018","79","16",40.5,"107","90.5","99.8","94.1","85.8","414","193","393","33",41.8,"9",11.4,6.8
"Lee, Brooks","686797","79","16.5",34.2,"105.3","89.1","97.3","91.3","87.5","383","172","364","27",34.2,"4",5.1,3.7
"Marsh, Brandon","669016","78","12.1",42.3,"108.6","91.4","100.7","92.3","90.8","454","175","398","39",50,"4",5.1,3.8
"Greene, Riley","682985","78","13.8",43.6,"111","90.4","102.8","96.3","83.9","417","190","409","39",50,"12",15.4,9
"Varsho, Daulton","662139","78","16.2",34.6,"110.2","84.7","97.4","90","81.6","405","168","391","26",33.3,"5",6.4,4.6
"Bauers, Jake","641343","78","10.1",29.5,"112.4","93.4","103.7","97.7","90.4","428","161","395","43",55.1,"8",10.3,7.3
"Lowe, Brandon","664040","78","16.4",35.9,"110","88.4","101","95.5","83.6","444","183","393","35",44.9,"10",12.8,8.3
"Turang, Brice","668930","77","9.1",44.2,"109.6","93.2","102.9","98.2","87","433","182","401","42",54.5,"9",11.7,7
"Jackson, Jeremiah","669236","77","5.8",33.8,"110.4","88.6","99.7","92.7","85.4","427","154","396","27",35.1,"7",9.1,6.7
"Machado, Manny","592518","77","8.6",31.2,"108.5","88.5","100.1","93.1","87.5","436","153","400","31",40.3,"5",6.5,4.2
"Cruz, Oneil","665833","77","8.8",36.4,"119","96.2","107.8","100.9","93.4","444","176","415","48",62.3,"17",22.1,12.4
"Reynolds, Bryan","668804","77","7.5",31.2,"109.5","91.5","101.9","94.6","89.3","417","150","405","34",44.2,"7",9.1,4.9
"Martínez, Angel","682657","76","16.5",38.2,"110.1","88.3","100.8","90.4","87.6","399","165","391","30",40,"8",10.5,7.9
"Walker, Jordan","691023","76","13",39.5,"115.2","95.5","106.8","97.1","94.3","459","189","409","45",59.2,"16",21.1,12.3
"Sánchez, Jesús","660821","76","12.6",32.9,"112.3","93.1","102.4","96.2","91.2","422","172","400","38",50,"7",9.2,6.9
"Johnston, Troy","687859","75","10.8",45.3,"106.3","89.4","99.1","94","82.2","423","174","415","31",41.3,"2",2.7,1.9
"Mullins, Cedric","656775","75","32.1",24,"105.5","87.8","97.4","93.1","83.3","403","190","385","25",34.2,"2",2.7,1.9
"Winn, Masyn","691026","75","16.6",36,"108","86","97","88.2","87.5","373","156","373","20",26.7,"2",2.7,1.8
"Rengifo, Luis","650859","75","5.4",33.3,"107.3","87.1","98.2","91.2","83.5","373","145",,"27",36,"5",6.7,5.3
"Schmitt, Casey","669477","75","23.2",40,"108.8","90.1","101.1","93","89.1","410","192","399","35",46.7,"11",14.7,10.8
"Laureano, Ramón","657656","74","9.6",32.4,"107.3","89.2","100.5","93.8","84.6","423","173","396","33",44.6,"10",13.5,8.3
"Chisholm Jr., Jazz","665862","74","18.5",24.3,"106.7","89.3","100.3","94.8","83.9","406","165","377","31",41.9,"5",6.8,4.1
"Dingler, Dillon","693307","74","8.7",45.9,"107.7","91.4","101.8","97.4","85","433","175","410","40",54.1,"13",17.6,12.3
"Happ, Ian","664023","74","11.5",28.4,"111.5","88.4","100.5","93.1","83.2","431","163","397","28",37.8,"10",13.5,7.5
"Ramos, Heliot","671218","74","9.8",37.8,"111.5","93.6","105.4","97.4","90.5","416","167","386","41",55.4,"12",16.2,10.2
