"last_name, first_name","player_id","team_name_alt","pitch_type","pitch_name","run_value_per_100","run_value","pitches","pitch_usage","pa","ba","slg","woba","whiff_percent","k_percent","put_away","est_ba","est_slg","est_woba","hard_hit_percent"
"Gausman, Kevin",592332,"TOR","FF","4-Seam Fastball",2.1,7,"332",53.2,"98","0.22","0.363","0.282",20,21.4,21.6,"0.248","0.473","0.332",44.3
"Pérez, Eury",691587,"MIA","FF","4-Seam Fastball",-0.8,-2,"283",53.8,"87","0.27","0.486","0.388",24.6,25.3,23.2,"0.24","0.433","0.347",51.9
"Bradley, Taj",671737,"MIN","FF","4-Seam Fastball",0.7,2,"323",45.6,"87","0.267","0.48","0.358",11.8,13.8,15.4,"0.284","0.536","0.389",49.2
"Sánchez, Cristopher",650911,"PHI","SI","Sinker",-1,-3,"298",45.9,"87","0.358","0.543","0.42",13.3,14.9,19.4,"0.288","0.504","0.361",61.8
"Abbott, Andrew",671096,"CIN","FF","4-Seam Fastball",-0.3,-1,"286",47.3,"86","0.307","0.453","0.404",8.5,9.3,10.4,"0.344","0.508","0.413",49.3
"Singer, Brady",663903,"CIN","SI","Sinker",-2.1,-5,"247",48.7,"84","0.346","0.59","0.423",12.6,11.9,13.2,"0.326","0.547","0.395",49.3
"Valdez, Framber",664285,"DET","SI","Sinker",0,0,"294",46.4,"82","0.288","0.384","0.343",9.9,9.8,14.3,"0.291","0.487","0.374",60
"Misiorowski, Jacob",694819,"MIL","FF","4-Seam Fastball",-0.2,-1,"339",61.3,"81","0.25","0.397","0.346",46.3,43.2,34,"0.21","0.329","0.306",42.4
"Webb, Logan",657277,"SF","SI","Sinker",2.2,5,"255",38.1,"79","0.232","0.333","0.303",13.4,10.1,17.4,"0.277","0.415","0.348",62.3
"Nelson, Ryne",669194,"AZ","FF","4-Seam Fastball",-1.6,-5,"289",62.3,"78","0.275","0.565","0.416",22.1,14.1,12.9,"0.283","0.55","0.392",48.3
"Eovaldi, Nathan",543135,"TEX","FS","Split-Finger",3.2,8,"241",38.4,"73","0.164","0.239","0.218",33.3,27.4,25,"0.244","0.364","0.298",59.6
"Houser, Adrian",605288,"SF","SI","Sinker",-2.2,-4,"206",41.5,"73","0.323","0.565","0.429",6.7,4.1,8.1,"0.334","0.535","0.413",51.7
"Peralta, Freddy",642547,"NYM","FF","4-Seam Fastball",1.2,4,"340",52.2,"73","0.203","0.281","0.284",24.2,20.5,17.6,"0.249","0.388","0.326",49
"Burns, Chase",695505,"CIN","FF","4-Seam Fastball",0.4,1,"299",55.6,"73","0.23","0.393","0.342",22.5,17.8,16.7,"0.248","0.434","0.358",45.8
"Ray, Robbie",592662,"SF","FF","4-Seam Fastball",1.9,5,"280",48.4,"72","0.172","0.313","0.264",20.7,23.6,18.3,"0.204","0.42","0.312",38.3
"Sánchez, Cristopher",650911,"PHI","CH","Changeup",1.4,3,"229",35.3,"71","0.19","0.206","0.239",48.4,43.7,31.3,"0.142","0.174","0.193",15.2
"Holmes, Clay",605280,"NYM","SI","Sinker",2.6,7,"260",49,"70","0.161","0.323","0.26",8.5,5.7,11.1,"0.283","0.423","0.348",39.7
"Ragans, Cole",666142,"KC","FF","4-Seam Fastball",0.6,2,"260",53.6,"69","0.167","0.389","0.322",30.6,31.9,26.2,"0.203","0.432","0.352",48.5
"Elder, Bryce",693821,"ATL","SL","Slider",1.9,4,"195",32.1,"67","0.183","0.283","0.253",32.1,29.9,31.7,"0.177","0.279","0.247",37.5
"Ryan, Joe",657746,"MIN","FF","4-Seam Fastball",-0.2,-1,"272",43.3,"67","0.29","0.5","0.377",24.5,19.4,14,"0.252","0.403","0.311",42.9
"Springs, Jeffrey",605488,"ATH","FF","4-Seam Fastball",0.5,1,"264",43.1,"67","0.207","0.345","0.288",17.7,20.9,15.6,"0.199","0.333","0.286",33.3
"Bello, Brayan",678394,"BOS","SI","Sinker",-2.5,-5,"221",43.8,"66","0.423","0.558","0.476",15.6,6.1,10.3,"0.354","0.563","0.448",46.9
"Chandler, Bubba",696149,"PIT","FF","4-Seam Fastball",-1.5,-4,"281",55.4,"65","0.204","0.429","0.386",21.5,16.9,12.9,"0.246","0.485","0.406",47.4
"Mattson, Isaac",676755,"PIT","FF","4-Seam Fastball",2.1,5,"241",82.3,"64","0.185","0.185","0.239",17.8,15.6,12.5,"0.286","0.466","0.369",46.7
"Kirby, George",669923,"SEA","FF","4-Seam Fastball",2,4,"221",34.4,"63","0.186","0.305","0.242",22.4,17.5,16.4,"0.231","0.369","0.286",45.8
"Flaherty, Jack",656427,"DET","FF","4-Seam Fastball",-0.4,-1,"227",45.2,"63","0.224","0.327","0.346",17,30.2,26.4,"0.222","0.365","0.352",56.7
"Kochanowicz, Jack",686799,"LAA","SI","Sinker",2.4,5,"209",38,"62","0.185","0.241","0.266",13.7,6.5,10,"0.273","0.439","0.359",48
"Cantillo, Joey",676282,"CLE","FF","4-Seam Fastball",0.1,0,"237",45.5,"61","0.231","0.423","0.34",14.6,14.8,17.3,"0.232","0.471","0.357",48.8
"Woo, Bryan",693433,"SEA","FF","4-Seam Fastball",1.5,4,"243",50.3,"61","0.228","0.351","0.267",25.8,19.7,17.9,"0.233","0.422","0.297",47.8
"Lauer, Eric",641778,"TOR","FF","4-Seam Fastball",-1.7,-4,"212",46,"61","0.25","0.654","0.409",18.4,24.6,22.1,"0.239","0.527","0.368",42.1
"Bubic, Kris",663460,"KC","FF","4-Seam Fastball",-1.9,-4,"228",42.5,"61","0.28","0.52","0.403",30.6,23,20.3,"0.269","0.542","0.406",38.9
"Woods Richardson, Simeon",680573,"MIN","FF","4-Seam Fastball",0.4,1,"213",42.3,"61","0.304","0.482","0.362",14.2,8.2,13.2,"0.235","0.416","0.305",40.4
"Skubal, Tarik",669373,"DET","FF","4-Seam Fastball",0.7,2,"245",39.1,"60","0.281","0.456","0.323",21.1,23.3,20.6,"0.298","0.452","0.331",36.4
"deGrom, Jacob",594798,"TEX","FF","4-Seam Fastball",1.6,4,"248",47.7,"60","0.232","0.393","0.296",25.2,23.3,23.7,"0.267","0.536","0.361",52.4
"López, Reynaldo",625643,"ATL","FF","4-Seam Fastball",2,4,"214",52.6,"60","0.204","0.407","0.317",11.4,20,22.6,"0.243","0.436","0.33",35.7
"Wrobleski, Justin",680736,"LAD","FF","4-Seam Fastball",3.1,7,"226",52.1,"60","0.196","0.214","0.218",12.5,15,14.3,"0.247","0.349","0.286",36.2
"Fedde, Erick",607200,"CWS","ST","Sweeper",3.2,6,"199",38.3,"59","0.115","0.192","0.175",23.4,22,17.6,"0.157","0.282","0.231",31.7
"Gausman, Kevin",592332,"TOR","FS","Split-Finger",1.1,3,"255",40.9,"59","0.158","0.263","0.204",40.5,32.2,19.4,"0.214","0.278","0.221",30.8
"Cease, Dylan",656302,"TOR","FF","4-Seam Fastball",0.2,1,"222",36.9,"59","0.261","0.283","0.334",30.2,35.6,25.3,"0.237","0.306","0.339",52
"Gore, MacKenzie",669022,"TEX","FF","4-Seam Fastball",0.1,0,"236",42.9,"59","0.271","0.438","0.366",27.6,30.5,25.7,"0.267","0.431","0.363",48.4
"Alcantara, Sandy",645261,"MIA","SI","Sinker",1.8,3,"149",22.2,"59","0.275","0.314","0.32",10.5,6.8,13.8,"0.284","0.376","0.342",38.3
"Schlittler, Cam",693645,"NYY","FF","4-Seam Fastball",2.7,7,"259",43.4,"59","0.175","0.246","0.2",37.5,39,26.1,"0.192","0.32","0.235",52.9
"Ober, Bailey",641927,"MIN","CH","Changeup",-0.2,-1,"211",34.9,"58","0.173","0.327","0.278",23.3,13.8,10.8,"0.239","0.376","0.309",22.7
"Dollander, Chase",801403,"COL","FF","4-Seam Fastball",3.5,7,"200",37.8,"58","0.12","0.2","0.206",30,34.5,24.4,"0.128","0.293","0.241",51.6
"Bassitt, Chris",605135,"BAL","SI","Sinker",-1.8,-4,"200",37.5,"57","0.388","0.551","0.437",14,10.5,13.6,"0.304","0.451","0.372",45.5
"Burns, Chase",695505,"CIN","SL","Slider",2.7,5,"200",37.2,"57","0.14","0.281","0.191",48.6,43.9,35.7,"0.156","0.298","0.192",37.5
"Liberatore, Matthew",669461,"STL","FF","4-Seam Fastball",0.2,0,"177",35.6,"56","0.28","0.48","0.353",7.5,8.9,12.5,"0.332","0.564","0.405",52.2
"Sale, Chris",519242,"ATL","SL","Slider",0.7,2,"229",42.3,"56","0.188","0.229","0.257",34.7,41.1,25.3,"0.168","0.234","0.248",12
"Cabrera, Edward",665795,"CHC","CH","Changeup",1.2,2,"176",32.1,"56","0.241","0.259","0.256",32.4,23.2,22,"0.265","0.366","0.287",41.5
"Burke, Sean",680732,"CWS","FF","4-Seam Fastball",1.6,3,"200",37.2,"56","0.22","0.36","0.289",19.4,23.2,15.3,"0.239","0.406","0.312",34.2
"Rocker, Kumar",677958,"TEX","SI","Sinker",-2,-3,"170",39.4,"55","0.319","0.468","0.425",15.5,5.5,14.3,"0.307","0.502","0.397",54.5
"Peterson, David",656849,"NYM","SI","Sinker",-2.5,-4,"166",33.9,"55","0.41","0.564","0.48",9.9,3.6,20,"0.42","0.579","0.514",64.1
"Woodruff, Brandon",605540,"MIL","FF","4-Seam Fastball",1.5,3,"176",42.4,"55","0.146","0.313","0.26",24.5,30.9,23.9,"0.173","0.345","0.267",28.1
"Ohtani, Shohei",660271,"LAD","FF","4-Seam Fastball",3.6,8,"212",44.8,"55","0.137","0.176","0.195",26.9,27.3,25.9,"0.194","0.29","0.244",47.2
"Webb, Logan",657277,"SF","CH","Changeup",0.1,0,"158",23.6,"55","0.25","0.308","0.275",30.2,30.9,22.4,"0.255","0.347","0.284",34.3
"Rodriguez, Eduardo",593958,"AZ","CH","Changeup",1.8,3,"175",31.7,"54","0.216","0.255","0.235",17.7,9.3,11.1,"0.265","0.365","0.296",28.3
"Baz, Shane",669358,"BAL","CU","Curveball",-2,-4,"183",32.1,"54","0.36","0.5","0.371",26.9,24.1,17.8,"0.284","0.388","0.305",46.2
"Mahle, Tyler",641816,"SF","FF","4-Seam Fastball",-2.1,-5,"252",47.8,"54","0.326","0.674","0.477",19.2,27.8,27.3,"0.298","0.575","0.437",46.4
"Matz, Steven",571927,"TB","SI","Sinker",-1.5,-4,"241",47.1,"54","0.283","0.587","0.415",18.1,16.7,14.3,"0.3","0.558","0.413",45.9
"Harrison, Kyle",690986,"MIL","FF","4-Seam Fastball",1.6,4,"252",59.2,"54","0.196","0.304","0.287",32.1,35.2,20,"0.217","0.348","0.31",33.3
"Cecconi, Slade",677944,"CLE","FF","4-Seam Fastball",1.1,2,"195",36.5,"54","0.245","0.469","0.326",22.9,22.2,23.5,"0.298","0.613","0.401",55.3
"Sale, Chris",519242,"ATL","FF","4-Seam Fastball",0.9,2,"208",38.4,"54","0.2","0.44","0.3",20.2,27.8,22.4,"0.238","0.464","0.326",48.6
"Rogers, Trevor",669432,"BAL","FF","4-Seam Fastball",-0.3,-1,"228",42.5,"53","0.298","0.447","0.381",21.6,15.1,11.3,"0.25","0.46","0.346",35.9
"Roupp, Landen",694738,"SF","SI","Sinker",3.2,7,"224",39.2,"53","0.114","0.159","0.221",13.2,18.9,30.3,"0.226","0.279","0.302",32.4
"Holmes, Grant",656550,"ATL","FF","4-Seam Fastball",2.2,4,"183",37.4,"53","0.174","0.37","0.277",16.3,7.5,13.3,"0.267","0.518","0.374",51.2
"Cavalli, Cade",676917,"WSH","FF","4-Seam Fastball",-2.5,-5,"201",35,"53","0.4","0.578","0.452",19.8,20.8,18.6,"0.28","0.437","0.356",34.3
"Castillo, Luis",622491,"SEA","FF","4-Seam Fastball",-0.7,-2,"228",40.7,"53","0.289","0.556","0.402",25.4,24.5,14.8,"0.275","0.512","0.384",51.5
"Warren, Will",701542,"NYY","FF","4-Seam Fastball",0.5,1,"222",42.5,"53","0.208","0.438","0.311",24.3,35.8,24.4,"0.191","0.388","0.287",48.3
"Vásquez, Randy",681190,"SD","FF","4-Seam Fastball",3.3,5,"169",31.2,"53","0.128","0.149","0.175",20.7,26.4,18.9,"0.213","0.337","0.291",44.1
"Suarez, Ranger",624133,"BOS","SI","Sinker",2.2,3,"148",29.4,"53","0.213","0.234","0.256",11.1,17,27.3,"0.294","0.371","0.334",36.8
"Sasaki, Roki",808963,"LAD","FF","4-Seam Fastball",-4.2,-8,"182",41.5,"52","0.395","0.767","0.528",17.3,7.7,10.5,"0.374","0.714","0.502",61.5
"Imanaga, Shota",684007,"CHC","FF","4-Seam Fastball",0.9,2,"239",42.8,"52","0.188","0.396","0.279",16.8,25,17.6,"0.276","0.522","0.365",62.9
"Rea, Colin",607067,"CHC","FF","4-Seam Fastball",0.5,1,"177",39.4,"52","0.304","0.435","0.344",12.1,11.5,10.9,"0.295","0.505","0.362",50
"Svanson, Matt",694335,"STL","SI","Sinker",-2.3,-4,"162",51.1,"51","0.357","0.548","0.445",15.3,15.7,22.9,"0.338","0.501","0.421",58.8
"Martinez, Nick",607259,"TB","SI","Sinker",3.4,6,"166",32.1,"51","0.213","0.234","0.225",4.1,19.6,23.3,"0.269","0.392","0.305",39.5
"Detmers, Reid",672282,"LAA","FF","4-Seam Fastball",-1.2,-3,"247",43.1,"51","0.311","0.556","0.406",19.1,15.7,10.8,"0.274","0.398","0.337",56.8
"Glasnow, Tyler",607192,"LAD","CU","Curveball",0.7,1,"174",30,"51","0.083","0.188","0.147",50,56.9,32.6,"0.081","0.133","0.127",42.1
"Imanaga, Shota",684007,"CHC","FS","Split-Finger",1.4,3,"183",32.8,"51","0.167","0.313","0.249",43,33.3,23.6,"0.169","0.252","0.211",22.6
"Soriano, José",667755,"LAA","SI","Sinker",2.7,5,"189",28.5,"50","0.156","0.222","0.241",27.8,12,20,"0.236","0.391","0.312",41
"Rodriguez, Eduardo",593958,"AZ","FF","4-Seam Fastball",0.9,2,"206",37.3,"50","0.167","0.357","0.314",21.8,26,20,"0.229","0.397","0.335",44.8
"Bradish, Kyle",680694,"BAL","SI","Sinker",0,0,"164",29.9,"50","0.244","0.341","0.321",11.5,26,22.4,"0.197","0.377","0.313",37.9
"Hancock, Emerson",676106,"SEA","SI","Sinker",3,4,"143",26.3,"49","0.25","0.364","0.317",11.5,8.2,13.8,"0.314","0.482","0.379",45
"Wacha, Michael",608379,"KC","FF","4-Seam Fastball",0.6,1,"153",27.3,"49","0.205","0.318","0.273",24.7,20.4,20.4,"0.263","0.54","0.375",35.3
"Williams, Gavin",668909,"CLE","FF","4-Seam Fastball",-0.1,0,"192",29.1,"49","0.158","0.342","0.319",28.4,24.5,20.3,"0.231","0.479","0.389",54.2
"McLean, Nolan",690997,"NYM","SI","Sinker",3.2,6,"189",33.6,"49","0.152","0.239","0.2",18.9,28.6,35.9,"0.189","0.283","0.232",34.4
"Rasmussen, Drew",656876,"TB","FC","Cutter",2.8,5,"174",35.4,"49","0.111","0.2","0.201",22.9,22.4,18.3,"0.181","0.257","0.217",20
"Matz, Steven",571927,"TB","CH","Changeup",1.5,2,"162",31.6,"49","0.133","0.244","0.19",30.8,26.5,19.4,"0.219","0.343","0.264",24.2
"Alcantara, Sandy",645261,"MIA","FF","4-Seam Fastball",0.3,0,"150",22.4,"49","0.267","0.378","0.333",17.7,14.3,20.6,"0.239","0.382","0.302",39.5
"Soroka, Michael",647336,"AZ","FF","4-Seam Fastball",-1,-2,"204",37.3,"49","0.326","0.465","0.387",15.6,28.6,20.9,"0.271","0.459","0.359",51.7
"Lowder, Rhett",695076,"CIN","SI","Sinker",3.5,6,"166",30.7,"48","0.2","0.244","0.251",8.1,14.6,24.1,"0.32","0.512","0.378",47.4
"Manaea, Sean",640455,"NYM","FF","4-Seam Fastball",-0.6,-1,"176",41.9,"48","0.279","0.512","0.373",18.2,27.1,18.8,"0.295","0.537","0.389",50
"Skubal, Tarik",669373,"DET","CH","Changeup",2.6,4,"161",25.7,"48","0.149","0.234","0.194",49.5,39.6,26.8,"0.188","0.234","0.194",25
"Mahle, Tyler",641816,"SF","FS","Split-Finger",-0.1,0,"140",26.6,"48","0.244","0.356","0.273",25.8,25,19.4,"0.227","0.364","0.267",32.4
"Paddack, Chris",663978,"MIA","CH","Changeup",1.1,1,"133",26,"48","0.229","0.333","0.281",30.3,29.2,25,"0.23","0.334","0.242",50
"Márquez, Germán",608566,"SD","FF","4-Seam Fastball",-1.6,-2,"148",36.5,"48","0.293","0.512","0.395",16.2,12.5,12.5,"0.298","0.595","0.424",51.4
"Mayza, Tim",641835,"PHI","SI","Sinker",1.5,3,"191",65,"48","0.19","0.286","0.286",22.6,20.8,23.8,"0.2","0.297","0.274",43.8
"Roupp, Landen",694738,"SF","CU","Curveball",1.9,3,"167",29.2,"47","0.163","0.233","0.217",33.8,38.3,30,"0.163","0.203","0.205",12
"Cease, Dylan",656302,"TOR","SL","Slider",3,5,"171",28.4,"47","0.095","0.095","0.174",51.1,42.6,25.6,"0.193","0.221","0.229",17.4
"Alcantara, Sandy",645261,"MIA","CH","Changeup",1.2,2,"157",23.4,"47","0.178","0.289","0.24",37.3,23.4,22.4,"0.225","0.287","0.243",32.4
"Valdez, Framber",664285,"DET","CU","Curveball",0.7,1,"195",30.8,"47","0.146","0.244","0.259",35.2,31.9,16.1,"0.184","0.235","0.248",23.1
"Holmes, Grant",656550,"ATL","SL","Slider",0.5,1,"190",38.9,"46","0.175","0.325","0.276",51.6,39.1,25.7,"0.191","0.356","0.293",36.4
"Harris, Hogan",663687,"ATH","FF","4-Seam Fastball",0.9,2,"181",56.4,"46","0.171","0.314","0.324",20.9,19.6,18.8,"0.194","0.277","0.322",23.1
"Sheehan, Emmet",686218,"LAD","SL","Slider",3.8,5,"142",32.6,"46","0.143","0.238","0.195",42.9,37,37,"0.172","0.285","0.225",30.8
"Detmers, Reid",672282,"LAA","SL","Slider",1.7,3,"186",32.5,"46","0.178","0.2","0.199",32.7,32.6,19.7,"0.172","0.212","0.178",26.7
"Peralta, Freddy",642547,"NYM","CH","Changeup",2.2,3,"151",23.2,"46","0.15","0.15","0.218",29.1,23.9,20.4,"0.209","0.239","0.253",20
"Soroka, Michael",647336,"AZ","SV","Slurve",0,0,"168",30.7,"46","0.262","0.333","0.299",28.7,34.8,21.1,"0.283","0.383","0.324",46.2
"Gallen, Zac",668678,"AZ","FF","4-Seam Fastball",2.3,4,"184",38.3,"46","0.256","0.279","0.253",5,10.9,13.2,"0.329","0.491","0.362",48.7
"Elder, Bryce",693821,"ATL","SI","Sinker",1.5,2,"138",22.7,"46","0.238","0.333","0.308",17.5,26.1,37.5,"0.271","0.399","0.323",50
"Junk, Janson",676083,"MIA","FF","4-Seam Fastball",-0.5,-1,"148",30.2,"46","0.256","0.385","0.361",16.9,19.6,17.6,"0.242","0.378","0.33",40
"Bibee, Tanner",676440,"CLE","FC","Cutter",-1.4,-3,"182",29.5,"45","0.3","0.525","0.406",36.2,22.2,15.9,"0.3","0.474","0.388",56.7
"Baz, Shane",669358,"BAL","FF","4-Seam Fastball",-2.2,-4,"191",33.5,"45","0.324","0.649","0.429",23.5,20,19.6,"0.255","0.431","0.346",30
"Phillips, Connor",683175,"CIN","ST","Sweeper",1.3,2,"165",51.4,"45","0.108","0.216","0.237",36.7,26.7,22.2,"0.183","0.317","0.299",36
"Hicks, Jordan",663855,"CWS","SI","Sinker",-1.4,-2,"149",67.4,"45","0.314","0.4","0.413",6,11.1,15.2,"0.26","0.299","0.331",35.5
"Bradish, Kyle",680694,"BAL","SL","Slider",-1.2,-2,"202",36.8,"45","0.256","0.436","0.349",29.1,26.7,19.7,"0.224","0.341","0.303",29.6
"Luzardo, Jesús",666200,"PHI","ST","Sweeper",1.5,3,"209",36.7,"45","0.163","0.233","0.196",49.4,53.3,32.4,"0.165","0.242","0.2",21.1
"Skenes, Paul",694973,"PIT","FF","4-Seam Fastball",1.5,3,"192",35,"45","0.122","0.341","0.236",26.5,37.8,25.8,"0.171","0.389","0.277",37.5
"Severino, Luis",622663,"ATH","SI","Sinker",-1.3,-2,"147",22.1,"45","0.282","0.564","0.416",18.4,15.6,17.1,"0.326","0.615","0.435",54.5
"Kay, Anthony",641743,"CWS","FF","4-Seam Fastball",-2,-3,"165",31.7,"45","0.368","0.684","0.469",12.3,11.1,8.8,"0.379","0.644","0.483",50
"Nola, Aaron",605400,"PHI","CU","Curveball",2.6,4,"164",30,"45","0.159","0.273","0.216",40,40,31,"0.173","0.23","0.186",23.1
"Kikuchi, Yusei",579328,"LAA","FF","4-Seam Fastball",-2.1,-4,"187",33,"45","0.349","0.488","0.362",19.8,20,13.4,"0.283","0.414","0.304",48.6
"Stanek, Ryne",592773,"STL","FF","4-Seam Fastball",-1,-2,"163",51.4,"44","0.343","0.457","0.422",27.4,25,19,"0.253","0.394","0.362",54.2
"Fried, Max",608331,"NYY","SI","Sinker",3.9,6,"142",21.7,"44","0.19","0.238","0.195",12.7,11.4,20,"0.213","0.275","0.235",36.8
"Keller, Mitch",656605,"PIT","FF","4-Seam Fastball",3.4,6,"175",34.2,"44","0.154","0.179","0.21",17.6,9.1,9.5,"0.292","0.431","0.354",42.9
"Assad, Javier",665871,"CHC","SI","Sinker",-2.1,-3,"136",42.4,"44","0.375","0.55","0.405",8.1,9.1,15.4,"0.359","0.526","0.401",57.9
"Ray, Robbie",592662,"SF","SL","Slider",0.3,0,"187",32.4,"44","0.231","0.41","0.322",39.8,31.8,20.3,"0.245","0.512","0.362",32
"Leiter, Jack",683004,"TEX","FF","4-Seam Fastball",0.8,2,"221",40,"44","0.225","0.375","0.297",25.4,20.5,14.5,"0.254","0.469","0.343",45.2
