ranker,name_display,age,team_name_abbr,comp_name_abbr,p_ip,p_batting_avg,p_onbase_perc,p_slugging_perc,p_onbase_plus_slugging,p_batting_avg_bip,p_home_run_perc,p_strikeout_perc,p_base_on_balls_perc,p_avg_exit_velo,p_hard_hit_perc,p_ld_perc,p_gb_perc,p_fb_perc,p_gb_fb_ratio,p_wpa_def,p_cwpa_def,p_baseout_runs,awards
1,Sandy Alcantara,30,MIA,NL,47.1,.226,.290,.328,.618,.254,2.1,16.1,7.8,87.8,34.9,17.1,46.6,26.0,0.89,0.7,0.5%,6.99,
2,Max Fried*,32,NYY,AL,47.1,.161,.227,.217,.445,.202,0.6,20.9,6.8,85.5,30.4,19.0,43.7,25.4,0.80,0.8,0.6%,12.79,
3,George Kirby,28,SEA,AL,45.0,.242,.298,.339,.637,.283,2.2,19.1,6.2,89.1,40.8,11.5,56.5,25.2,1.30,0.5,0.3%,6.16,
4,Logan Webb,29,SFG,NL,44.0,.265,.332,.376,.708,.326,1.6,20.2,8.0,90.5,48.9,25.0,59.1,12.9,1.47,0.2,-0.1%,-1.10,
5,Tarik Skubal*,29,DET,AL,43.1,.222,.253,.329,.582,.295,1.2,27.1,3.6,88.5,43.0,25.4,45.6,22.8,0.88,0.8,0.7%,8.04,
6,Gavin Williams,26,CLE,AL,43.1,.166,.263,.325,.588,.207,3.5,31.0,11.1,90.7,44.9,17.3,50.0,25.5,1.02,1.1,0.8%,7.63,
7,Bryce Elder,27,ATL,NL,43.0,.204,.273,.287,.560,.252,1.2,20.9,7.6,89.2,38.8,24.0,43.0,27.3,0.76,0.8,0.6%,9.00,
8,José Soriano,27,LAA,AL,42.2,.164,.247,.233,.480,.223,1.8,30.1,9.8,87.4,34.0,15.3,55.1,27.6,1.26,1.4,0.8%,17.13,
9,Cam Schlittler,25,NYY,AL,41.2,.168,.200,.242,.442,.242,0.6,31.4,3.8,86.5,38.6,20.8,45.5,24.8,0.85,1.0,0.8%,10.37,
10,Taj Bradley,25,MIN,AL,41.0,.226,.301,.381,.681,.280,2.9,25.3,8.6,92.7,46.9,27.4,31.9,31.0,0.47,0.9,0.5%,8.36,
11,Kevin Gausman,35,TOR,AL,40.2,.204,.244,.349,.592,.243,3.1,24.8,5.0,87.3,38.9,29.2,39.8,20.4,0.67,0.4,0.3%,5.18,
12,Cristopher Sánchez*,29,PHI,NL,40.1,.289,.339,.410,.749,.395,1.7,27.8,7.2,89.8,44.4,23.1,56.4,16.2,1.29,0.3,0.2%,3.13,
13,Framber Valdez*,32,DET,AL,40.1,.236,.306,.318,.625,.285,1.2,18.5,8.1,90.2,43.9,20.8,52.0,24.0,1.08,0.5,0.1%,3.74,
14,Nathan Eovaldi,36,TEX,AL,39.2,.269,.318,.463,.780,.301,5.2,22.5,5.8,90.7,47.5,19.7,50.8,25.4,1.03,-0.2,-0.2%,-3.83,
15,Tyler Glasnow,32,LAD,NL,38.2,.146,.222,.292,.515,.188,2.8,32.6,9.0,90.2,38.1,22.6,45.2,25.0,0.83,0.6,0.5%,8.28,
16,Jeffrey Springs*,33,ATH,AL,38.2,.213,.278,.383,.661,.233,3.8,22.2,7.6,87.1,31.2,20.2,34.9,33.0,0.54,0.3,0.1%,3.03,
17,Freddy Peralta,30,NYM,NL,38.1,.207,.294,.317,.612,.263,2.4,25.6,9.8,86.2,39.4,25.0,41.3,26.0,0.74,0.6,0.2%,5.88,
18,Joe Ryan,30,MIN,AL,38.1,.218,.271,.366,.637,.275,1.9,25.2,5.8,88.3,38.1,21.9,35.2,29.5,0.55,-0.2,0.0%,-0.98,
19,Luis Severino,32,ATH,AL,38.1,.235,.354,.375,.729,.304,2.5,24.7,14.2,88.6,42.3,23.7,41.2,27.8,0.71,-0.2,-0.2%,0.67,
20,Logan Gilbert,29,SEA,AL,38.0,.277,.325,.453,.778,.349,2.5,24.4,5.0,90.1,44.5,26.4,38.2,28.2,0.63,0.0,-0.1%,1.34,
21,Bailey Ober,30,MIN,AL,38.0,.211,.287,.352,.639,.239,2.5,18.5,8.3,85.5,30.1,19.5,37.2,27.4,0.59,0.3,0.2%,1.93,
22,Seth Lugo,36,KCR,AL,37.2,.241,.295,.350,.646,.302,0.7,20.8,7.4,88.2,33.6,25.2,36.4,29.0,0.59,0.9,0.5%,6.61,
23,Yoshinobu Yamamoto,27,LAD,NL,37.2,.213,.265,.360,.626,.248,2.7,21.8,6.1,88.0,39.0,24.8,38.1,29.5,0.63,0.1,0.1%,4.04,
24,Michael Wacha,34,KCR,AL,37.1,.212,.293,.364,.656,.253,2.7,22.3,9.5,88.0,40.0,25.0,31.0,34.0,0.47,0.7,0.4%,6.58,
25,Davis Martin,29,CHW,AL,37.0,.239,.292,.351,.642,.303,1.4,22.9,5.6,90.1,48.5,35.6,35.6,18.8,0.57,1.2,0.5%,10.48,
26,Nick Martinez,35,TBR,AL,37.0,.206,.253,.316,.570,.227,2.0,16.3,6.1,85.9,29.8,19.3,39.5,31.6,0.66,1.0,0.8%,11.25,
27,Parker Messick*,25,CLE,AL,36.1,.177,.244,.234,.478,.247,0.7,28.1,7.4,85.1,26.7,18.6,52.3,18.6,1.13,1.3,0.9%,11.99,
28,Clay Holmes,33,NYM,NL,36.0,.186,.254,.295,.548,.206,2.1,17.6,7.7,89.1,42.9,17.1,58.1,19.0,1.39,0.9,0.4%,10.67,
29,Tanner Bibee,27,CLE,AL,35.1,.266,.333,.417,.751,.314,3.3,20.9,9.2,91.2,48.6,25.2,43.9,18.7,0.80,0.3,0.3%,3.12,
30,Edward Cabrera,28,CHC,NL,35.1,.234,.301,.344,.644,.276,2.1,20.1,8.3,89.9,39.2,26.5,41.2,23.5,0.74,0.2,-0.1%,2.12,
31,Nolan McLean,24,NYM,NL,35.1,.161,.230,.258,.488,.234,1.5,33.3,7.4,85.2,31.6,24.1,44.3,22.8,0.80,0.6,0.4%,5.64,
32,Landen Roupp,27,SFG,NL,35.1,.149,.248,.207,.455,.205,0.7,27.0,10.2,85.7,25.3,23.8,56.0,15.5,1.27,0.9,0.3%,7.24,
33,Jack Kochanowicz,25,LAA,AL,35.0,.189,.293,.244,.537,.223,0.7,16.3,12.2,89.1,42.0,17.3,59.6,17.3,1.55,0.7,0.3%,5.56,
34,Chris Sale*,37,ATL,NL,35.0,.185,.263,.323,.585,.222,3.6,27.7,6.6,88.1,30.2,18.6,44.2,30.2,0.79,0.9,0.5%,8.67,
35,Ranger Suárez*,30,BOS,AL,35.0,.197,.250,.303,.553,.231,2.3,22.0,6.8,88.3,38.3,27.7,40.4,22.3,0.68,0.7,0.3%,5.50,
36,Bryan Woo,26,SEA,AL,35.0,.238,.277,.377,.654,.265,2.8,19.1,4.3,89.4,48.1,21.7,31.1,36.8,0.45,0.0,0.1%,0.20,
37,Andrew Abbott*,27,CIN,NL,34.2,.303,.367,.458,.825,.333,3.2,15.2,9.5,88.2,40.0,25.2,45.4,20.2,0.86,-0.3,-0.4%,-5.04,
38,Emerson Hancock,27,SEA,AL,34.2,.226,.273,.427,.700,.247,5.3,24.2,4.5,90.1,40.0,16.3,45.7,29.3,0.84,0.5,0.3%,5.80,
39,Jameson Taillon,34,CHC,NL,34.2,.213,.291,.465,.755,.207,6.4,22.0,9.2,86.7,33.3,20.8,32.3,34.4,0.48,-0.2,0.0%,-1.62,
40,Shota Imanaga*,32,CHC,NL,34.1,.171,.226,.325,.551,.217,2.3,28.6,6.8,89.9,41.9,24.4,31.4,33.7,0.46,0.7,0.3%,6.25,
41,Jesús Luzardo*,28,PHI,NL,34.1,.259,.310,.378,.688,.352,2.1,28.3,6.2,85.7,29.8,25.5,50.0,18.1,1.02,-0.1,-0.3%,-3.22,
42,Braxton Ashcraft,26,PIT,NL,34.0,.221,.292,.361,.653,.293,2.2,28.3,8.7,89.3,35.3,14.0,46.5,30.2,0.89,0.1,0.0%,0.73,
43,Shane Baz,27,BAL,AL,34.0,.301,.353,.489,.842,.352,2.0,19.3,7.3,88.0,37.0,29.6,41.7,21.3,0.71,-0.2,-0.2%,-0.68,
44,Chase Burns,23,CIN,NL,34.0,.208,.277,.352,.629,.259,3.6,28.5,8.8,88.3,43.2,15.1,46.5,25.6,0.91,0.9,0.6%,7.18,
45,Mitch Keller,30,PIT,NL,34.0,.226,.292,.298,.590,.273,0.7,18.2,8.0,85.9,39.0,29.0,38.0,21.0,0.62,0.5,0.3%,5.22,
46,Michael Lorenzen,34,COL,NL,34.0,.338,.384,.536,.921,.369,3.7,14.6,5.5,90.4,51.2,27.3,46.9,22.7,0.88,-1.0,-0.6%,-10.59,
47,Rhett Lowder,24,CIN,NL,34.0,.231,.286,.315,.601,.279,0.7,17.9,7.1,90.5,38.6,23.8,41.0,28.6,0.69,0.5,0.3%,4.84,
48,Paul Skenes,24,PIT,NL,34.0,.182,.237,.314,.551,.228,3.0,29.3,5.3,85.5,31.8,20.2,47.6,20.2,0.93,0.4,0.3%,4.37,
49,Kris Bubic*,28,KCR,AL,33.2,.193,.299,.336,.635,.247,2.2,25.5,12.4,88.3,33.7,23.8,39.3,32.1,0.65,0.4,0.1%,3.40,
50,Sean Burke,26,CHW,AL,33.2,.226,.273,.379,.652,.258,2.3,18.0,5.3,87.6,37.6,23.8,41.6,26.7,0.74,0.3,0.2%,3.00,
51,Reid Detmers*,26,LAA,AL,33.2,.220,.284,.370,.654,.278,2.1,25.5,6.4,87.8,39.1,20.4,38.7,29.0,0.64,0.3,0.2%,1.17,
52,Foster Griffin*,30,WSN,NL,33.2,.210,.279,.371,.650,.236,3.6,21.9,7.3,87.8,37.9,20.0,41.1,30.5,0.72,0.8,0.4%,6.27,
53,Michael King,31,SDP,NL,33.2,.177,.293,.301,.594,.221,2.2,25.4,11.2,87.7,35.0,23.8,43.8,22.5,0.80,1.0,0.6%,8.89,
54,Randy Vásquez,27,SDP,NL,33.2,.228,.299,.366,.665,.287,2.2,24.8,8.0,89.9,44.4,24.4,42.2,27.8,0.75,0.8,0.5%,6.41,
55,Ryan Weathers*,26,NYY,AL,33.2,.258,.301,.422,.723,.337,3.6,29.2,5.8,88.6,44.9,27.0,40.4,25.8,0.69,0.1,0.0%,4.21,
56,Erick Fedde,33,CHW,AL,33.1,.203,.278,.356,.634,.204,3.7,16.4,8.2,88.6,36.7,20.4,41.8,30.6,0.72,0.0,0.0%,2.85,
57,Michael McGreevy,25,STL,NL,33.1,.205,.236,.369,.605,.208,3.9,16.5,3.9,87.9,36.0,24.8,40.6,26.7,0.69,0.6,0.3%,6.17,
58,Robbie Ray*,34,SFG,NL,33.1,.198,.281,.364,.645,.235,3.7,25.9,10.4,86.9,35.7,24.4,27.9,39.5,0.39,0.5,0.2%,6.21,
59,Janson Junk,30,MIA,NL,33.0,.220,.273,.317,.590,.250,1.5,15.8,6.0,88.1,39.8,18.6,48.0,21.6,0.96,0.3,0.2%,3.35,
60,Jacob Misiorowski,24,MIL,NL,32.2,.195,.299,.314,.613,.297,2.9,37.2,9.5,87.3,36.8,25.0,39.7,27.9,0.66,0.2,0.1%,4.02,
61,Eduardo Rodríguez*,33,ARI,NL,32.2,.236,.322,.386,.708,.257,2.8,15.4,11.2,89.2,39.0,25.7,42.9,25.7,0.76,0.5,0.3%,4.92,
62,Grant Holmes,30,ATL,NL,32.1,.208,.289,.350,.639,.220,3.7,18.5,10.4,89.9,42.7,20.8,41.7,28.1,0.71,0.1,0.0%,2.88,
63,Chase Dollander,24,COL,NL,32.0,.200,.271,.322,.593,.267,2.3,30.0,6.9,91.2,55.7,17.7,50.6,22.8,1.03,1.0,0.4%,8.12,
64,Mike Burrows,26,HOU,AL,31.2,.315,.378,.523,.901,.378,4.9,23.1,8.4,87.5,37.1,26.8,38.1,25.8,0.63,-0.8,-0.4%,-5.68,
65,Noah Cameron*,26,KCR,AL,31.2,.301,.354,.496,.850,.350,3.5,19.4,7.6,90.3,44.8,32.4,30.5,26.7,0.44,-0.5,-0.5%,-5.72,
66,Connelly Early*,24,BOS,AL,31.2,.212,.313,.354,.667,.244,3.1,21.4,10.7,91.2,42.4,20.9,44.2,32.6,0.79,0.6,0.3%,6.02,
67,Tomoyuki Sugano,36,COL,NL,31.2,.233,.282,.425,.707,.240,3.8,16.0,6.9,90.8,44.6,20.8,46.5,29.7,0.87,0.5,0.2%,5.55,
68,Dylan Cease,30,TOR,AL,31.1,.220,.326,.246,.572,.371,0.0,35.5,12.3,86.9,36.2,31.4,51.4,8.6,1.09,0.1,0.0%,1.88,
69,Jacob deGrom,38,TEX,AL,31.1,.198,.244,.328,.571,.264,3.3,32.5,5.7,91.5,40.8,28.9,31.6,30.3,0.46,0.8,0.6%,7.56,
70,Jack Leiter,26,TEX,AL,31.1,.274,.348,.452,.799,.329,4.3,23.9,8.7,87.8,45.1,22.0,41.8,33.0,0.73,-0.7,-0.5%,-4.32,
71,Steven Matz*,35,TBR,AL,31.1,.211,.283,.404,.687,.220,4.7,21.3,8.7,88.9,37.5,26.1,36.4,28.4,0.57,0.1,0.1%,0.94,
72,Lance McCullers Jr.,32,HOU,AL,31.1,.237,.346,.430,.776,.299,3.0,24.8,12.8,91.6,48.1,22.2,45.7,23.5,0.84,-0.5,-0.2%,-6.27,
73,Aaron Nola,33,PHI,NL,31.1,.286,.350,.508,.858,.349,4.3,25.0,9.3,89.3,41.3,30.4,39.1,19.6,0.64,-0.8,-0.3%,-6.42,
74,Andre Pallante,27,STL,NL,31.1,.221,.312,.369,.680,.250,2.9,18.8,10.1,88.5,39.6,20.8,51.0,25.0,1.04,0.1,0.0%,0.67,
75,Eury Pérez,23,MIA,NL,31.1,.252,.338,.487,.826,.296,4.4,24.3,10.3,89.3,46.0,19.5,35.6,33.3,0.56,-0.5,-0.3%,-3.70,
76,Will Warren,27,NYY,AL,31.1,.240,.287,.347,.634,.321,2.3,28.7,5.4,90.8,42.9,22.6,48.8,22.6,0.95,0.3,0.2%,2.61,
77,MacKenzie Gore*,27,TEX,AL,31.0,.217,.311,.374,.685,.290,3.8,31.6,11.3,89.5,46.7,30.7,40.0,25.3,0.68,0.0,0.0%,-0.52,
78,Yusei Kikuchi*,35,LAA,AL,31.0,.282,.352,.444,.796,.352,2.1,23.2,9.9,90.2,42.6,25.5,39.4,24.5,0.65,-0.5,0.0%,-4.92,
79,Casey Mize,29,DET,AL,31.0,.228,.297,.368,.665,.304,1.6,27.3,8.6,87.6,42.0,24.7,38.3,28.4,0.63,0.5,0.3%,5.21,
80,Cade Cavalli,27,WSN,NL,30.2,.298,.385,.387,.772,.419,0.7,26.6,9.8,89.1,36.8,28.7,43.7,25.3,0.78,-0.2,0.1%,-2.63,
81,Aaron Civale,31,ATH,AL,30.2,.267,.313,.408,.721,.305,2.3,18.2,6.1,91.8,53.1,27.6,31.6,31.6,0.46,0.7,0.4%,5.89,
82,Tyler Mahle,31,SFG,NL,30.2,.282,.370,.479,.849,.325,4.4,21.3,12.5,90.3,37.5,21.1,50.0,25.6,1.02,-0.1,-0.1%,-4.52,
83,Dustin May,28,STL,NL,30.2,.333,.377,.492,.869,.385,2.3,16.9,5.4,88.3,46.9,28.3,43.4,17.2,0.78,-0.2,-0.3%,-3.76,
84,Drew Rasmussen,30,TBR,AL,30.2,.181,.213,.336,.549,.200,4.1,26.2,4.1,85.9,32.9,16.5,51.8,22.4,1.10,0.5,0.5%,4.44,
85,Michael Soroka,28,ARI,NL,30.2,.285,.348,.431,.779,.381,2.2,26.5,6.6,89.2,42.0,27.3,38.6,27.3,0.65,0.3,0.1%,-1.35,
86,Joey Cantillo*,26,CLE,AL,30.1,.243,.328,.414,.742,.315,3.2,27.2,10.4,90.0,42.9,19.5,44.2,28.6,0.79,0.2,0.2%,1.37,
87,Slade Cecconi,27,CLE,AL,30.1,.273,.353,.463,.815,.293,4.3,18.0,9.4,86.0,37.8,20.4,44.9,24.5,0.85,-0.8,-0.5%,-7.44,
88,Adrian Houser,33,SFG,NL,30.1,.323,.373,.577,.950,.330,4.2,11.2,7.0,90.1,47.4,27.6,49.1,18.1,1.00,-0.9,-0.4%,-11.17,
89,Matthew Liberatore*,26,STL,NL,30.1,.298,.351,.537,.888,.292,5.9,14.1,8.1,91.0,42.9,21.9,39.0,35.2,0.65,-0.3,-0.1%,-1.17,
90,David Peterson*,30,NYM,NL,30.1,.309,.378,.431,.809,.375,1.4,20.1,9.7,89.5,49.0,26.3,55.6,12.1,1.31,-0.7,-0.3%,-6.77,
91,Trevor Rogers*,28,BAL,AL,30.1,.281,.338,.421,.760,.337,2.3,20.3,7.5,88.4,31.9,24.2,38.9,21.1,0.64,-0.2,-0.1%,-2.61,
92,Kyle Bradish,29,BAL,AL,30.0,.297,.382,.449,.832,.376,2.2,22.8,12.5,86.3,39.1,19.3,48.9,21.6,1.00,-0.7,-0.4%,-3.66,
93,Garrett Crochet*,27,BOS,AL,30.0,.270,.350,.467,.818,.350,3.6,26.8,8.0,89.0,46.4,36.0,36.0,24.4,0.57,-0.3,-0.3%,-8.40,
94,Max Meyer,27,MIA,NL,30.0,.207,.295,.328,.623,.268,1.5,25.0,9.1,89.0,38.6,26.2,40.5,23.8,0.69,0.6,0.3%,3.78,
95,Shohei Ohtani,31,LAD,NL,30.0,.160,.237,.226,.464,.233,0.0,28.6,7.6,86.6,37.8,13.5,54.1,17.6,1.21,1.3,0.9%,11.19,
96,Brandon Woodruff,33,MIL,NL,30.0,.216,.264,.369,.634,.238,3.3,20.7,5.8,89.0,33.0,19.3,29.5,39.8,0.43,0.0,0.0%,1.97,
97,Simeon Woods Richardson,25,MIN,AL,30.0,.311,.378,.525,.902,.317,4.4,11.0,9.6,88.8,40.7,23.1,36.1,25.9,0.58,-0.9,-0.6%,-7.68,
98,Justin Wrobleski*,25,LAD,NL,30.0,.183,.252,.229,.481,.213,0.0,12.6,7.6,87.7,38.3,26.6,38.3,30.9,0.63,0.7,0.7%,10.53,
99,Jake Irvin,29,WSN,NL,29.2,.212,.302,.345,.647,.263,3.1,26.4,8.5,90.9,51.3,22.5,36.3,32.5,0.57,-0.2,-0.1%,-1.39,
100,Kyle Leahy,29,STL,NL,29.1,.317,.383,.525,.908,.348,4.5,16.4,8.2,91.0,50.0,25.5,52.0,19.4,1.09,-0.3,-0.3%,-3.08,
101,Bubba Chandler,23,PIT,NL,29.0,.213,.338,.398,.737,.234,3.8,20.8,15.4,88.2,36.6,23.2,34.1,31.7,0.53,-0.2,0.0%,-3.74,
102,Brady Singer,29,CIN,NL,29.0,.323,.366,.508,.874,.347,3.7,14.2,5.2,92.4,47.6,32.1,40.6,23.6,0.68,-0.3,-0.2%,-2.97,
103,Zac Gallen,30,ARI,NL,28.2,.288,.328,.414,.742,.323,1.7,14.2,5.8,91.5,45.8,25.0,45.8,25.0,0.86,0.0,0.0%,2.23,
104,Zack Littell,30,WSN,NL,28.2,.315,.365,.653,1.018,.268,9.5,11.7,8.0,93.6,47.3,19.1,35.5,36.4,0.55,-1.3,-0.7%,-16.46,
105,Luis Castillo,33,SEA,AL,28.1,.317,.383,.500,.883,.378,3.0,19.4,8.2,91.1,47.4,30.5,37.9,20.0,0.62,-0.9,-0.5%,-10.48,
106,Carmen Mlodzinski,27,PIT,NL,28.1,.270,.336,.342,.678,.361,0.0,23.8,8.7,91.9,55.4,28.9,47.0,15.7,0.89,0.0,0.0%,-0.12,
107,Martín Pérez*,35,ATL,NL,28.1,.184,.270,.347,.617,.195,2.7,17.0,8.9,87.2,42.0,24.7,40.7,24.7,0.73,0.5,0.2%,7.98,
108,Chris Bassitt,37,BAL,AL,28.0,.328,.407,.440,.847,.357,2.2,12.6,10.4,86.3,32.7,24.8,45.5,19.8,0.87,-0.3,-0.1%,-4.67,
109,Chris Paddack,30,MIA,NL,28.0,.294,.339,.462,.801,.341,3.9,20.3,5.5,89.3,47.9,23.4,41.5,29.8,0.72,-0.6,-0.4%,-6.92,
110,Chad Patrick,27,MIL,NL,28.0,.222,.310,.343,.653,.244,1.8,14.0,11.4,90.0,42.4,24.7,32.9,30.6,0.50,0.3,0.2%,4.35,
111,Brandon Williamson*,28,CIN,NL,28.0,.255,.383,.431,.814,.268,3.1,14.8,15.6,88.1,41.9,23.3,33.7,32.6,0.51,-0.2,-0.1%,-5.09,
112,Miles Mikolas,37,WSN,NL,27.1,.313,.370,.565,.935,.315,6.3,15.0,8.7,87.8,45.3,15.5,48.5,30.9,0.96,-1.0,-0.4%,-11.58,
113,Colin Rea,35,CHC,NL,27.1,.248,.310,.362,.672,.291,2.6,20.5,7.7,91.5,47.0,21.7,48.2,25.3,0.95,0.0,-0.1%,1.31,
114,Eric Lauer*,31,TOR,AL,27.0,.262,.339,.505,.844,.259,5.7,16.4,10.7,87.8,36.4,25.0,21.6,39.8,0.28,-0.6,-0.4%,-5.25,
115,Keider Montero,25,DET,AL,27.0,.218,.252,.376,.629,.260,1.9,21.5,4.7,90.2,44.9,17.7,34.2,32.9,0.53,0.3,0.1%,2.71,
116,Brandon Pfaadt,27,ARI,NL,27.0,.238,.316,.446,.761,.250,4.4,18.4,9.6,88.4,38.3,18.5,51.9,22.2,1.08,-0.7,-0.4%,-2.86,
117,Cole Ragans*,28,KCR,AL,27.0,.229,.348,.490,.837,.263,6.1,28.7,15.7,88.7,40.6,18.8,35.9,39.1,0.58,0.1,0.2%,-1.98,
118,Kumar Rocker,26,TEX,AL,26.2,.243,.313,.359,.672,.288,1.7,19.1,8.7,90.3,48.1,22.0,56.1,17.1,1.28,0.1,0.2%,2.44,
119,Brandon Sproat,25,MIL,NL,26.2,.286,.381,.541,.921,.318,6.1,21.7,13.0,87.6,42.7,16.0,36.0,38.7,0.59,-0.4,-0.4%,-4.16,
120,Emmet Sheehan,26,LAD,NL,26.1,.242,.309,.444,.754,.294,3.6,25.5,8.2,87.6,40.3,29.2,40.3,23.6,0.67,0.0,0.1%,1.04,
121,Brayan Bello,27,BOS,AL,25.2,.374,.439,.635,1.074,.380,6.0,12.8,11.3,88.5,39.6,22.8,48.5,22.8,0.98,-1.0,-0.4%,-13.55,
122,Ryne Nelson,28,ARI,NL,25.2,.259,.328,.509,.837,.282,5.0,20.0,9.2,90.9,47.6,27.4,29.8,33.3,0.42,-0.9,-0.4%,-13.58,
123,Jack Flaherty,30,DET,AL,25.1,.234,.400,.426,.826,.290,3.3,23.0,18.0,87.7,46.3,25.0,29.4,26.5,0.44,-0.3,-0.1%,-5.28,
124,Walker Buehler,31,SDP,NL,25.0,.270,.360,.370,.730,.347,0.9,21.1,10.5,91.1,40.8,31.6,47.4,17.1,0.90,-0.2,-0.3%,-2.48,
125,J.T. Ginn,27,ATH,AL,25.0,.202,.280,.393,.673,.209,4.0,19.0,9.0,85.8,32.4,14.1,50.7,28.2,1.06,0.2,0.0%,2.65,
126,Anthony Kay*,31,CHW,AL,25.0,.277,.385,.475,.860,.286,3.3,12.3,11.5,90.2,48.3,31.8,35.2,21.6,0.55,-0.5,-0.2%,-4.13,
127,Jacob Lopez*,28,ATH,AL,24.2,.278,.400,.443,.843,.299,3.3,14.9,17.4,84.7,26.8,14.6,36.6,31.7,0.59,-0.5,-0.3%,-3.28,
128,Germán Márquez,31,SDP,NL,24.2,.268,.324,.495,.819,.270,5.7,16.2,6.7,87.8,47.5,22.5,32.5,32.5,0.49,0.0,-0.1%,0.50,
129,Andrew Painter,23,PHI,NL,24.0,.306,.346,.439,.785,.364,1.9,19.4,5.6,87.3,32.5,25.0,37.5,25.0,0.61,-0.1,0.1%,0.23,
130,Kyle Harrison*,24,MIL,NL,23.2,.200,.292,.306,.598,.283,2.1,31.3,8.3,87.9,32.7,27.3,34.5,29.1,0.56,0.4,0.2%,4.76,
131,Reynaldo López,32,ATL,NL,23.2,.227,.317,.409,.726,.254,4.0,21.8,10.9,86.5,36.4,28.4,34.3,28.4,0.52,-0.1,-0.2%,-0.87,
132,Sonny Gray,36,BOS,AL,23.0,.269,.313,.430,.743,.286,3.0,13.1,5.1,88.1,40.0,21.3,53.8,21.3,1.16,-0.1,0.0%,-1.10,
133,Shane McClanahan*,29,TBR,AL,23.0,.184,.290,.253,.543,.246,1.0,24.8,12.9,86.4,43.5,22.6,37.1,29.0,0.64,-0.2,-0.1%,-0.66,
134,Ben Brown,26,CHC,NL,22.2,.210,.267,.272,.538,.267,1.1,24.4,7.8,89.6,34.4,19.7,50.8,21.3,1.03,0.4,0.2%,3.56,
135,Roki Sasaki,24,LAD,NL,22.2,.304,.402,.576,.978,.333,6.5,20.4,12.0,89.0,45.1,21.1,36.6,33.8,0.59,-0.7,-0.5%,-6.13,
136,Taijuan Walker,33,PHI,NL,22.2,.353,.417,.657,1.074,.359,7.0,14.8,9.6,87.5,36.5,22.1,39.5,33.7,0.65,-1.2,-0.5%,-13.77,
