ranker,name_display,age,team_name_abbr,comp_name_abbr,p_ip,p_batting_avg,p_onbase_perc,p_slugging_perc,p_onbase_plus_slugging,p_batting_avg_bip,p_home_run_perc,p_strikeout_perc,p_base_on_balls_perc,p_avg_exit_velo,p_hard_hit_perc,p_ld_perc,p_gb_perc,p_fb_perc,p_gb_fb_ratio,p_wpa_def,p_cwpa_def,p_baseout_runs,awards
271,Jeff Hoffman,33,TOR,AL,12.2,.291,.391,.418,.809,.538,3.1,42.2,10.9,90.4,33.3,25.0,46.4,14.3,0.93,-1.5,-0.8%,-5.76,
272,Brad Keller,30,PHI,NL,12.2,.196,.260,.326,.586,.226,4.0,26.0,6.0,87.6,39.4,15.2,54.5,27.3,1.20,0.3,0.1%,2.19,
273,Kevin Kelly,28,TBR,AL,12.2,.140,.229,.233,.462,.161,2.1,22.9,8.3,91.3,54.8,21.9,62.5,15.6,1.67,0.7,0.6%,3.55,
274,Luis Medina,27,ATH,AL,12.2,.196,.315,.304,.619,.235,1.9,20.4,13.0,90.6,44.1,22.9,37.1,31.4,0.62,-0.1,0.0%,4.33,
275,Peyton Pallette,25,CLE,AL,12.2,.196,.327,.283,.610,.250,1.8,23.6,12.7,92.3,39.4,33.3,33.3,18.2,0.50,0.1,0.1%,1.55,
276,Robert Suarez,35,ATL,NL,12.2,.196,.229,.196,.425,.273,0.0,27.1,4.2,87.1,31.3,21.2,42.4,24.2,0.74,0.6,0.4%,5.23,
277,Gus Varland,29,WSN,NL,12.2,.280,.315,.440,.755,.361,1.8,25.5,5.5,91.5,52.6,34.2,34.2,18.4,0.54,0.3,0.0%,-0.96,
278,Victor Vodnik,26,COL,NL,12.2,.352,.429,.537,.966,.405,3.2,17.5,11.1,90.1,40.9,22.7,47.7,22.7,0.95,-0.8,-0.6%,-4.07,
279,Ryan Walker,30,SFG,NL,12.2,.260,.339,.380,.719,.333,1.8,23.2,10.7,83.1,29.7,13.5,51.4,32.4,1.06,-0.5,-0.2%,-1.44,
280,Keaton Winn,28,SFG,NL,12.2,.143,.234,.238,.472,.207,0.0,27.1,10.4,86.0,30.0,20.0,40.0,33.3,0.71,0.0,0.0%,3.67,
281,Angel Zerpa*,26,MIL,NL,12.2,.333,.407,.521,.928,.368,3.6,14.5,10.9,90.8,51.2,19.5,58.5,14.6,1.50,-0.4,-0.2%,-2.02,
282,Casey Legumina,29,2TM,AL,12.2,.333,.404,.479,.883,.390,0.0,15.5,6.9,91.3,52.4,26.2,28.6,35.7,0.41,-0.2,-0.1%,1.52,
282,Casey Legumina,29,SEA,AL,11.2,.341,.404,.500,.904,.405,0.0,17.0,5.7,91.5,55.3,26.3,31.6,34.2,0.48,-0.2,-0.1%,1.02,
282,Casey Legumina,29,TBR,AL,1.0,.250,.400,.250,.650,.250,0.0,0.0,20.0,89.1,25.0,25.0,0.0,50.0,0.00,0.0,0.0%,0.50,
283,Lucas Erceg,31,KCR,AL,12.1,.238,.385,.310,.694,.313,0.0,19.2,19.2,88.8,40.6,21.9,56.3,15.6,1.29,-0.6,-0.2%,0.92,
284,Sam Moll*,34,CIN,NL,12.1,.122,.308,.220,.527,.138,1.9,20.8,15.1,86.3,28.6,13.3,60.0,16.7,1.50,0.1,0.0%,3.34,
285,Michael Petersen,32,MIA,NL,12.1,.196,.275,.261,.535,.250,2.0,25.5,9.8,91.4,39.4,12.1,33.3,42.4,0.50,-0.3,-0.1%,0.34,
286,Cade Povich*,26,BAL,AL,12.1,.200,.250,.289,.539,.216,2.1,14.6,6.3,89.9,39.5,15.8,42.1,34.2,0.73,0.2,0.2%,2.87,
287,JR Ritchie,23,ATL,NL,12.1,.222,.314,.444,.758,.226,5.9,21.6,11.8,88.4,41.2,32.4,35.3,29.4,0.55,0.1,0.0%,1.01,
288,Gabe Speier*,31,SEA,AL,12.1,.298,.364,.447,.810,.361,1.8,21.4,8.9,86.0,28.9,23.7,42.1,26.3,0.76,-0.4,-0.1%,0.06,
289,Greg Weissert,31,BOS,AL,12.1,.275,.327,.529,.857,.333,7.1,30.4,7.1,87.6,38.2,23.5,47.1,23.5,0.89,-1.0,-0.5%,-4.35,
290,Anthony Bender,31,MIA,NL,12.0,.239,.368,.283,.651,.333,0.0,24.6,14.0,89.3,36.4,24.2,42.4,27.3,0.74,-0.3,-0.3%,-3.72,
291,Connor Brogdon,31,CLE,AL,12.0,.222,.255,.467,.722,.226,6.0,22.0,4.0,86.5,40.5,10.8,37.8,35.1,0.70,-0.5,-0.4%,-2.19,
292,Pierce Johnson,35,CIN,NL,12.0,.283,.306,.543,.850,.344,4.0,26.0,4.0,90.1,45.7,31.4,20.0,42.9,0.26,0.1,0.0%,4.14,
293,Andrés Muñoz,27,SEA,AL,12.0,.222,.308,.400,.708,.333,3.8,38.5,11.5,85.7,46.2,19.2,46.2,23.1,0.92,0.1,0.0%,-0.21,
294,Eric Orze,28,MIN,AL,12.0,.273,.346,.318,.664,.353,0.0,23.1,11.5,86.5,32.4,26.5,38.2,23.5,0.62,-0.4,-0.2%,-1.02,
295,Blade Tidwell,25,SFG,NL,12.0,.233,.298,.326,.623,.281,2.1,21.3,6.4,86.3,36.4,24.2,36.4,15.2,0.57,0.1,0.1%,1.92,
296,Luke Weaver,32,NYM,NL,12.0,.227,.286,.432,.718,.229,4.0,16.0,8.0,86.8,34.2,15.8,44.7,28.9,0.85,0.0,-0.1%,-2.61,
297,Hunter Barco*,25,PIT,NL,11.2,.292,.417,.542,.958,.289,5.0,13.3,15.0,89.0,43.6,17.1,48.8,22.0,0.95,-0.6,-0.3%,-5.47,
298,Shane Drohan*,27,MIL,NL,11.2,.255,.321,.298,.619,.308,0.0,17.0,9.4,86.0,33.3,25.6,48.7,17.9,1.00,-0.1,-0.2%,-1.65,
299,Kody Funderburk*,29,MIN,AL,11.2,.195,.365,.268,.634,.219,1.9,15.4,17.3,85.4,27.3,18.2,45.5,24.2,0.88,0.2,0.1%,2.74,
300,Andrew Hoffmann,26,ARI,NL,11.2,.333,.431,.583,1.014,.382,5.1,20.3,13.6,87.2,43.2,27.0,29.7,29.7,0.46,-0.1,-0.1%,-6.94,
301,Bryan King*,29,HOU,AL,11.2,.244,.358,.333,.692,.344,0.0,24.5,9.4,87.4,29.0,28.1,53.1,6.3,1.13,-0.5,-0.1%,-3.38,
302,Joe Mantiply*,35,TOR,AL,11.2,.279,.333,.395,.729,.407,2.0,32.0,6.0,85.6,46.7,30.0,43.3,13.3,0.93,0.0,0.0%,1.60,
303,Drew Pomeranz*,37,LAA,AL,11.2,.313,.411,.646,1.057,.314,7.0,15.8,12.3,88.5,35.0,32.5,17.5,25.0,0.22,-1.0,-0.4%,-8.12,
304,Cole Sands,28,MIN,AL,11.2,.273,.327,.477,.804,.313,4.0,22.0,8.0,92.7,51.4,22.9,42.9,31.4,0.79,-0.1,-0.1%,-2.34,
305,John Schreiber,32,KCR,AL,11.2,.268,.373,.488,.860,.250,3.8,9.6,13.5,88.9,42.1,20.5,48.7,25.6,1.00,-0.7,-0.5%,-2.17,
306,Will Vest,31,DET,AL,11.2,.239,.327,.326,.653,.313,1.9,25.0,11.5,89.7,34.4,15.2,66.7,18.2,2.00,-0.6,-0.5%,-2.47,
307,Bryan Baker,31,TBR,AL,11.1,.209,.261,.349,.610,.276,2.2,28.3,6.5,85.0,23.3,26.7,50.0,13.3,1.00,0.2,0.2%,3.19,
308,Tanner Banks*,34,PHI,NL,11.1,.377,.450,.491,.941,.500,1.7,23.3,11.7,84.7,25.6,38.5,25.6,28.2,0.36,-0.7,-0.2%,-4.70,
309,Matt Brash,28,SEA,AL,11.1,.091,.162,.152,.314,.115,0.0,21.1,5.3,87.7,40.7,33.3,37.0,14.8,0.63,0.9,0.5%,6.00,
310,Enyel De Los Santos,30,HOU,AL,11.1,.277,.333,.447,.780,.333,2.0,19.6,7.8,88.2,35.1,24.3,29.7,37.8,0.42,0.2,0.1%,0.63,
311,Jaden Hill,26,COL,NL,11.1,.261,.370,.348,.718,.333,1.8,21.8,14.5,88.7,35.3,26.5,47.1,20.6,0.89,0.3,0.1%,2.14,
312,Griffin Jax,31,TBR,AL,11.1,.268,.380,.512,.892,.296,5.8,23.1,15.4,87.2,46.9,15.6,50.0,25.0,1.14,-0.8,-0.7%,-4.72,
313,Daniel Lynch IV*,29,KCR,AL,11.1,.079,.167,.132,.298,.120,0.0,31.0,7.1,84.8,32.0,16.0,44.0,40.0,0.79,1.1,0.6%,5.16,
314,Erik Miller*,28,SFG,NL,11.1,.190,.292,.262,.554,.320,0.0,35.4,12.5,85.6,28.0,20.0,56.0,12.0,1.27,0.0,0.0%,0.46,
315,Andrew Morris,24,MIN,AL,11.1,.340,.373,.447,.819,.405,1.9,19.2,5.8,84.2,35.9,28.2,25.6,35.9,0.36,-0.6,-0.5%,-0.62,
316,Mitchell Parker*,26,WSN,NL,11.1,.262,.340,.357,.698,.323,2.0,20.4,8.2,83.6,52.9,32.4,35.3,14.7,0.71,-0.4,-0.1%,-0.47,
317,Ryan Thompson,34,ARI,NL,11.1,.200,.304,.400,.704,.194,4.3,15.2,10.9,87.5,30.3,15.2,48.5,24.2,0.94,0.7,0.4%,1.67,
318,Walbert Ureña,22,LAA,AL,11.1,.300,.417,.420,.837,.389,1.7,21.7,16.7,84.5,27.0,16.2,48.6,24.3,1.00,-0.7,-0.5%,-5.84,
319,Abner Uribe,26,MIL,NL,11.1,.214,.267,.310,.576,.286,2.2,28.9,6.7,89.2,41.4,34.5,34.5,24.1,0.53,0.2,0.2%,1.87,
320,Cole Wilcox,26,SEA,AL,11.1,.347,.450,.449,.899,.457,1.7,23.3,13.3,91.8,51.4,36.1,41.7,19.4,0.71,0.0,0.0%,-3.51,
321,Paul Blackburn,32,NYY,AL,11.0,.304,.347,.370,.717,.359,0.0,14.3,6.1,89.0,41.0,20.5,51.3,25.6,1.05,-0.3,-0.2%,-2.44,
322,Fernando Cruz,36,NYY,AL,11.0,.220,.373,.366,.738,.350,3.9,37.3,17.6,85.4,31.8,13.6,22.7,54.5,0.31,0.2,0.2%,1.12,
323,Calvin Faucher,30,MIA,NL,11.0,.200,.385,.275,.660,.296,0.0,24.5,22.6,91.0,53.6,32.1,42.9,21.4,0.80,-0.7,-0.5%,-4.38,
324,Mason Fluharty*,24,TOR,AL,11.0,.262,.360,.381,.741,.385,2.0,31.4,13.7,83.7,28.6,28.6,25.0,32.1,0.35,0.4,0.2%,-0.55,
325,Tanner Gordon,28,COL,NL,11.0,.333,.388,.667,1.054,.393,7.8,25.5,7.8,84.4,32.4,23.5,17.6,32.4,0.24,0.1,0.0%,-2.98,
326,Dean Kremer,30,BAL,AL,11.0,.195,.233,.512,.745,.190,9.3,37.2,4.7,87.6,36.0,16.0,36.0,44.0,0.56,-0.3,-0.2%,-1.42,
327,Nick Mears,29,KCR,AL,11.0,.167,.279,.306,.585,.214,0.0,20.5,13.6,89.3,53.6,17.2,48.3,27.6,1.00,0.0,0.0%,1.39,
328,Trevor Megill,32,MIL,NL,11.0,.238,.333,.333,.667,.345,0.0,26.0,10.0,85.4,41.9,19.4,35.5,32.3,0.65,-1.0,-0.7%,-2.80,
329,Andrew Nardi*,27,MIA,NL,11.0,.286,.412,.500,.912,.370,3.8,25.0,17.3,87.6,46.7,16.7,46.7,30.0,0.93,0.0,0.0%,-3.89,
330,Connor Seabold,30,DET,AL,11.0,.286,.360,.476,.836,.323,4.0,22.0,10.0,87.6,30.3,21.2,42.4,33.3,0.74,0.0,0.0%,-2.95,
331,Paul Sewald,36,ARI,NL,11.0,.158,.220,.447,.667,.136,7.1,31.0,7.1,90.4,50.0,15.4,11.5,53.8,0.14,-0.1,0.1%,0.16,
332,Chase Silseth,26,LAA,AL,11.0,.250,.392,.375,.767,.300,1.9,19.2,19.2,86.6,31.3,31.3,37.5,25.0,0.63,0.1,0.1%,-0.59,
333,Garrett Whitlock,30,BOS,AL,11.0,.195,.283,.366,.648,.231,4.3,28.3,10.9,87.1,32.1,14.3,50.0,28.6,1.08,0.6,0.3%,1.68,
334,Ryan Yarbrough*,34,NYY,AL,11.0,.200,.304,.325,.629,.226,2.2,17.4,8.7,84.5,21.9,28.1,28.1,31.3,0.41,-0.2,-0.1%,-0.09,
335,Shawn Armstrong,35,CLE,AL,10.2,.205,.340,.410,.751,.250,4.3,27.7,14.9,90.9,50.0,19.2,34.6,30.8,0.53,0.2,0.1%,1.16,
336,Valente Bellozo,26,COL,NL,10.2,.256,.383,.641,1.024,.192,10.4,16.7,14.6,89.0,50.0,21.9,25.0,40.6,0.35,-0.4,-0.2%,-5.22,
337,Hunter Brown,27,HOU,AL,10.2,.135,.256,.162,.418,.250,0.0,39.5,14.0,85.6,30.0,20.0,50.0,25.0,1.00,0.4,0.3%,4.06,
338,Yennier Cano,32,BAL,AL,10.2,.135,.158,.243,.401,.160,2.6,28.9,2.6,91.1,53.8,15.4,69.2,15.4,2.25,0.2,0.1%,3.88,
339,Jose Franco,25,CIN,NL,10.2,.317,.420,.561,.981,.355,4.0,18.0,16.0,86.2,38.7,24.2,45.5,27.3,0.83,0.0,0.0%,-2.70,
340,Ryan Helsley,31,BAL,AL,10.2,.179,.304,.231,.535,.292,0.0,32.6,15.2,89.4,54.2,12.5,58.3,25.0,1.56,0.2,0.1%,0.89,
341,Orion Kerkering,25,PHI,NL,10.2,.225,.326,.400,.726,.258,2.1,17.0,12.8,77.5,15.2,18.2,24.2,39.4,0.33,0.2,0.1%,1.91,
342,Brooks Raley*,38,NYM,NL,10.2,.162,.244,.243,.487,.217,2.4,31.0,9.5,86.1,36.0,24.0,28.0,32.0,0.44,0.0,-0.1%,1.17,
343,Matt Strahm*,34,KCR,AL,10.2,.238,.333,.452,.786,.286,4.2,25.0,10.4,88.9,40.0,13.3,36.7,36.7,0.58,0.2,0.2%,0.67,
344,Payton Tolle*,23,BOS,AL,10.2,.162,.262,.270,.532,.238,2.4,35.7,11.9,88.6,50.0,22.7,27.3,31.8,0.40,0.2,0.1%,2.13,
345,Alex Vesia*,30,LAD,NL,10.2,.111,.220,.167,.386,.182,0.0,34.1,12.2,84.0,27.3,18.2,22.7,54.5,0.29,0.9,0.5%,4.82,
346,Jacob Webb,32,CHC,NL,10.2,.356,.423,.600,1.023,.419,5.8,23.1,11.5,94.0,57.6,26.5,44.1,26.5,0.79,-0.7,-0.5%,-4.55,
347,José Alvarado*,31,PHI,NL,10.1,.356,.453,.422,.875,.485,0.0,22.2,11.1,82.8,27.3,26.5,41.2,20.6,0.82,-0.1,0.0%,-4.53,
348,Clayton Beeter,27,WSN,NL,10.1,.139,.304,.306,.610,.115,4.3,19.6,17.4,91.6,53.6,10.7,64.3,25.0,1.80,0.1,0.2%,2.65,
349,Aaron Bummer*,32,ATL,NL,10.1,.238,.313,.500,.813,.219,6.3,16.7,8.3,91.3,48.6,14.3,51.4,22.9,1.06,-0.3,-0.3%,-2.78,
350,Camilo Doval,28,NYY,AL,10.1,.238,.267,.500,.767,.241,6.7,24.4,4.4,90.0,50.0,18.8,46.9,25.0,0.88,-0.6,-0.4%,-1.85,
351,Zack Kelly,31,BOS,AL,10.1,.194,.225,.306,.531,.207,2.5,20.0,5.0,87.1,33.3,30.0,46.7,16.7,0.88,-0.1,-0.1%,0.20,
352,Eli Morgan,30,KCR,AL,10.1,.205,.311,.385,.696,.214,4.4,20.0,13.3,88.5,48.3,33.3,33.3,23.3,0.50,-0.2,-0.1%,1.53,
353,Taylor Rogers*,35,MIN,AL,10.1,.325,.404,.450,.854,.382,0.0,14.9,12.8,90.5,35.3,44.1,17.6,32.4,0.21,0.1,0.1%,-0.59,
354,Evan Sisk*,29,PIT,NL,10.1,.256,.370,.333,.703,.400,0.0,30.4,8.7,84.0,40.0,36.0,40.0,12.0,0.67,-0.4,-0.3%,0.54,
355,Joel Kuhnel,31,ATH,AL,10.0,.278,.300,.306,.606,.294,0.0,10.0,5.0,90.4,44.1,32.4,44.1,11.8,0.79,0.5,0.3%,1.24,
356,Paxton Schultz,28,WSN,NL,10.0,.268,.302,.488,.790,.310,4.5,22.7,2.3,90.4,38.7,19.4,32.3,41.9,0.48,0.1,0.0%,1.57,
357,Lucas Sims,32,CHW,AL,10.0,.257,.386,.400,.786,.320,2.2,21.7,15.2,82.2,39.3,21.4,35.7,25.0,0.63,-0.6,-0.3%,-1.62,
358,Grant Wolfram*,29,BAL,AL,10.0,.318,.375,.500,.875,.500,0.0,33.3,2.1,82.5,39.3,35.7,35.7,17.9,0.67,0.0,0.0%,-0.63,
359,Elvis Alvarado,27,ATH,AL,9.2,.297,.409,.514,.923,.370,2.3,20.5,15.9,91.3,50.0,14.3,35.7,50.0,0.56,0.1,0.1%,-4.40,
360,Kyle Backhus*,28,PHI,NL,9.2,.275,.293,.425,.718,.321,4.9,24.4,2.4,88.1,31.0,23.3,53.3,16.7,1.14,0.1,0.0%,0.21,
361,Bryan Abreu,29,HOU,AL,9.1,.289,.491,.658,1.148,.389,7.5,30.2,28.3,91.7,59.1,18.2,45.5,36.4,0.83,-1.0,-0.5%,-9.19,
362,Cody Bolton,28,HOU,AL,9.1,.242,.395,.333,.729,.318,2.3,25.0,18.2,87.7,41.7,29.2,33.3,25.0,0.57,-0.1,0.0%,-1.24,
363,Colton Gordon*,27,HOU,AL,9.1,.467,.500,.933,1.433,.517,12.0,22.0,6.0,87.0,48.6,31.4,34.3,28.6,0.55,-0.4,-0.2%,-8.53,
364,Edgardo Henriquez,24,LAD,NL,9.1,.212,.333,.333,.667,.273,2.6,25.6,12.8,79.1,21.7,8.7,56.5,13.0,1.44,0.1,0.1%,-0.59,
365,Cristian Javier,29,HOU,AL,9.1,.351,.500,.541,1.041,.355,4.2,8.3,18.8,87.8,36.4,18.2,30.3,39.4,0.45,-0.6,-0.4%,-6.68,
366,Ken Waldichuk*,28,WSN,NL,9.1,.235,.366,.588,.954,.182,9.8,19.5,14.6,82.6,36.0,11.5,34.6,34.6,0.64,-0.3,-0.2%,-3.03,
367,Jake Bird,30,NYY,AL,9.0,.297,.325,.459,.784,.370,2.5,25.0,2.5,90.5,39.3,17.9,50.0,21.4,1.00,-0.7,-0.4%,-3.39,
368,Ryan Borucki*,32,SFG,NL,9.0,.333,.395,.590,.985,.379,4.7,18.6,9.3,85.7,41.9,22.6,45.2,25.8,0.82,-0.7,-0.4%,-2.85,
369,Pete Fairbanks,32,MIA,NL,9.0,.257,.341,.457,.799,.364,2.4,31.7,9.8,90.9,45.5,21.7,8.7,52.2,0.10,-0.8,-0.6%,-4.53,
370,Didier Fuentes,21,ATL,NL,9.0,.250,.300,.361,.661,.333,2.5,30.0,7.5,90.6,36.0,24.0,36.0,36.0,0.56,-0.1,-0.2%,-0.54,
371,Connor Prielipp*,25,MIN,AL,9.0,.156,.222,.219,.441,.227,0.0,30.6,8.3,93.5,45.5,22.7,27.3,36.4,0.38,0.1,0.1%,0.56,
372,Chase Shugart,29,PHI,NL,9.0,.242,.324,.333,.658,.304,2.7,24.3,5.4,85.3,33.3,16.7,45.8,29.2,0.85,0.4,0.1%,3.61,
373,Devin Williams,31,NYM,NL,9.0,.375,.457,.525,.982,.583,2.1,31.9,12.8,86.5,30.8,30.8,34.6,23.1,0.56,-0.3,-0.1%,-5.46,
374,Kolby Allard*,28,CLE,AL,8.2,.390,.444,.659,1.103,.467,4.4,20.0,6.7,89.9,43.8,31.3,40.6,21.9,0.68,-0.2,-0.1%,-7.66,
375,Aroldis Chapman*,38,BOS,AL,8.2,.172,.273,.276,.549,.263,0.0,30.3,9.1,93.0,52.6,36.8,15.8,47.4,0.19,0.3,0.0%,2.11,
376,Raisel Iglesias,36,ATL,NL,8.2,.167,.194,.233,.427,.263,0.0,35.5,3.2,87.1,31.6,21.1,36.8,31.6,0.58,0.7,0.4%,5.41,
377,Tatsuya Imai,28,HOU,AL,8.2,.219,.432,.250,.682,.368,0.0,29.5,25.0,85.8,36.8,21.1,57.9,10.5,1.38,-0.4,-0.3%,-4.30,
378,Christian Roa,27,HOU,AL,8.2,.313,.465,.500,.965,.346,2.3,14.0,16.3,91.8,63.0,25.9,33.3,25.9,0.50,-0.1,0.0%,-2.28,
379,Caleb Thielbar*,39,CHC,NL,8.2,.182,.289,.364,.653,.200,5.3,28.9,13.2,87.9,31.8,18.2,22.7,40.9,0.29,-0.1,-0.1%,2.65,
380,Blake Treinen,38,LAD,NL,8.2,.306,.359,.611,.970,.360,5.1,23.1,7.7,87.0,46.2,14.8,55.6,29.6,1.25,-0.1,-0.1%,0.86,
381,Tim Herrin*,29,CLE,AL,8.1,.207,.324,.241,.566,.222,0.0,10.8,13.5,80.8,11.1,11.1,51.9,22.2,1.08,0.0,-0.1%,1.94,
382,Riley Martin*,28,CHC,NL,8.1,.179,.233,.286,.519,.235,3.2,32.3,6.5,87.7,42.1,15.8,31.6,31.6,0.50,0.4,0.2%,2.23,
383,Tyler Samaniego*,27,BOS,AL,8.1,.143,.250,.179,.429,.200,0.0,25.0,12.5,89.8,35.0,15.0,45.0,30.0,0.82,0.1,0.0%,4.15,
384,Shane Smith,26,CHW,AL,8.1,.316,.458,.500,.958,.423,2.0,22.4,18.4,82.2,33.3,29.6,44.4,22.2,0.80,-0.6,-0.3%,-8.30,
385,Jason Adam,34,SDP,NL,8.0,.172,.250,.276,.526,.167,3.1,12.5,6.3,80.9,24.0,12.0,52.0,28.0,1.08,0.6,0.4%,3.36,
386,Jack Anderson,26,BOS,AL,8.0,.267,.313,.400,.713,.304,3.1,18.8,6.3,85.2,45.8,20.8,37.5,33.3,0.64,0.0,0.0%,1.23,
387,Hunter Bigge,28,TBR,AL,8.0,.107,.286,.250,.536,.091,2.9,14.3,20.0,88.7,34.8,13.0,30.4,43.5,0.44,0.6,0.3%,0.19,
388,Jonathan Bowlan,29,PHI,NL,8.0,.290,.324,.387,.711,.391,0.0,26.5,5.9,87.2,30.4,17.4,39.1,39.1,0.64,-0.3,-0.1%,-0.91,
389,Enmanuel De Jesus*,29,DET,AL,8.0,.400,.478,.525,1.003,.516,0.0,19.1,12.8,89.3,37.5,37.5,28.1,25.0,0.41,-0.3,-0.2%,-7.77,
390,Mitch Farris*,25,LAA,AL,8.0,.276,.364,.414,.777,.318,3.0,18.2,12.1,84.2,26.1,34.8,43.5,13.0,0.77,0.2,0.1%,1.41,
391,Robert Garcia*,30,TEX,AL,8.0,.185,.353,.222,.575,.238,0.0,17.6,20.6,88.8,33.3,14.3,57.1,23.8,1.33,-0.3,-0.1%,0.16,
392,Jordan Romano,33,LAA,AL,8.0,.314,.429,.514,.943,.455,2.4,28.6,14.3,88.9,43.5,30.4,34.8,21.7,0.53,-1.3,-0.6%,-5.11,
393,Cameron Foster,27,BAL,AL,7.2,.364,.462,.394,.855,.500,0.0,23.1,15.4,86.8,25.0,16.7,50.0,4.2,1.00,0.0,0.0%,-1.63,
394,Joel Payamps,32,ATL,NL,7.2,.281,.361,.594,.955,.333,5.6,25.0,11.1,92.5,39.1,26.1,21.7,52.2,0.28,-0.6,-0.4%,-3.85,
395,Danny Coulombe*,36,BOS,AL,7.1,.276,.364,.379,.743,.304,3.0,15.2,9.1,84.5,29.2,25.0,45.8,25.0,0.85,-0.1,-0.1%,0.44,
396,Cade Horton,24,CHC,NL,7.1,.167,.231,.292,.522,.158,3.8,15.4,7.7,85.8,36.8,30.0,55.0,15.0,1.22,0.1,0.1%,0.97,
397,Kenley Jansen,38,DET,AL,7.1,.267,.353,.567,.920,.278,8.8,26.5,11.8,87.8,33.3,28.6,19.0,47.6,0.24,-1.7,-1.3%,-3.07,
398,Luis Morales,23,ATH,AL,7.1,.394,.524,.818,1.342,.375,9.5,11.9,19.0,90.8,46.4,28.6,28.6,25.0,0.40,-0.5,-0.2%,-5.29,
399,Kyle Nicolas,27,CIN,NL,7.1,.276,.500,.414,.914,.333,2.4,16.7,31.0,87.1,35.0,27.3,27.3,31.8,0.38,0.0,0.0%,-6.80,
400,Zach Pop,29,PHI,NL,7.1,.200,.290,.320,.610,.238,0.0,19.4,9.7,93.3,47.6,19.0,52.4,28.6,1.10,0.0,0.0%,1.23,
401,Luis García,39,2TM,2LG,7.1,.371,.421,.571,.992,.419,0.0,10.5,5.3,89.2,55.2,41.9,38.7,19.4,0.63,0.0,0.0%,-4.13,
401,Luis García,39,NYM,NL,6.1,.367,.406,.567,.973,.423,0.0,12.5,6.3,87.5,50.0,38.5,42.3,19.2,0.73,0.0,0.0%,-2.64,
401,Luis García,39,MIN,AL,1.0,.400,.500,.600,1.100,.400,0.0,0.0,0.0,97.7,80.0,60.0,20.0,20.0,0.25,0.0,0.0%,-1.49,
402,Luinder Avila,24,KCR,AL,7.0,.471,.526,.765,1.291,.600,2.6,21.1,10.5,91.5,50.0,26.9,42.3,30.8,0.73,-0.4,-0.2%,-5.37,
403,Jeremiah Estrada,27,SDP,NL,7.0,.208,.345,.292,.636,.313,0.0,26.7,16.7,81.4,47.1,29.4,29.4,29.4,0.45,-0.1,0.0%,0.61,
404,Cole Henry,26,WSN,NL,7.0,.276,.382,.448,.831,.350,2.9,23.5,11.8,89.7,38.1,19.0,23.8,42.9,0.31,-1.2,-0.8%,-3.79,
