ranker,name_display,age,team_name_abbr,comp_name_abbr,p_ip,p_batting_avg,p_onbase_perc,p_slugging_perc,p_onbase_plus_slugging,p_batting_avg_bip,p_home_run_perc,p_strikeout_perc,p_base_on_balls_perc,p_avg_exit_velo,p_hard_hit_perc,p_ld_perc,p_gb_perc,p_fb_perc,p_gb_fb_ratio,p_wpa_def,p_cwpa_def,p_baseout_runs,awards
405,Cal Quantrill,31,TEX,AL,7.0,.280,.321,.480,.801,.333,3.6,25.0,7.1,92.2,52.6,36.8,21.1,21.1,0.27,0.1,0.0%,-1.30,
406,Garrett Acton,28,MIN,AL,6.2,.174,.286,.261,.547,.267,0.0,32.1,10.7,95.6,40.0,26.7,33.3,33.3,0.50,-0.4,-0.3%,-0.68,
407,Wilber Dotel,23,PIT,NL,6.2,.091,.200,.227,.427,.059,4.0,16.0,12.0,92.3,50.0,0.0,50.0,44.4,1.00,0.2,0.2%,1.56,
408,Jhoan Duran,28,PHI,NL,6.2,.208,.208,.250,.458,.313,0.0,33.3,0.0,89.9,50.0,12.5,62.5,18.8,1.67,0.7,0.2%,2.25,
409,J.P. France,31,HOU,AL,6.2,.240,.387,.400,.787,.250,3.2,12.9,16.1,89.9,42.9,14.3,47.6,33.3,0.91,-0.1,0.0%,-2.60,
410,Andre Granillo,26,WSN,NL,6.1,.273,.433,.455,.888,.250,3.2,6.5,22.6,90.9,40.9,22.7,27.3,40.9,0.40,-0.2,-0.1%,-1.17,
411,Colin Holderman,30,CLE,AL,6.1,.091,.167,.227,.394,.067,4.2,25.0,8.3,91.3,68.8,18.8,56.3,18.8,1.29,0.0,0.1%,0.49,
412,Cody Laweryson,28,MIN,AL,6.1,.143,.269,.238,.507,.214,0.0,30.8,7.7,89.5,42.9,35.7,42.9,7.1,0.75,0.3,0.1%,0.99,
413,Chris Martin,40,TEX,AL,6.1,.393,.414,.643,1.057,.500,3.4,24.1,0.0,95.7,52.4,57.1,19.0,19.0,0.22,-0.7,-0.3%,-3.71,
414,José Urquidy,31,PIT,NL,6.1,.441,.472,.647,1.119,.519,2.8,16.7,5.6,89.2,44.4,28.6,46.4,17.9,0.87,-0.2,-0.2%,-7.47,
415,Edwin Díaz,32,LAD,NL,6.0,.333,.455,.444,.899,.500,3.0,30.3,15.2,89.2,37.5,29.4,29.4,35.3,0.45,0.1,0.0%,-4.39,
416,Carl Edwards Jr.,34,NYM,NL,6.0,.143,.280,.286,.566,.222,4.0,44.0,16.0,93.6,40.0,20.0,40.0,40.0,0.67,0.1,0.0%,1.69,
417,Kyle Hurt,28,LAD,NL,6.0,.143,.182,.143,.325,.214,0.0,31.8,0.0,87.2,14.3,14.3,42.9,28.6,0.75,0.1,0.0%,2.44,
418,Chris Murphy*,28,CHW,AL,6.0,.333,.438,.556,.993,.400,3.1,18.8,15.6,85.9,38.1,33.3,38.1,4.8,0.67,-0.5,-0.3%,-2.84,
419,Jayden Murray,29,HOU,AL,6.0,.318,.429,.364,.792,.389,0.0,17.9,17.9,91.4,33.3,16.7,38.9,38.9,0.64,0.0,0.0%,-0.20,
420,Ryan Rolison*,28,CHC,NL,6.0,.158,.158,.211,.368,.188,0.0,15.8,0.0,89.7,31.3,18.8,37.5,37.5,0.60,0.2,0.1%,3.10,
421,Carter Baumler,24,TEX,AL,5.2,.200,.407,.400,.807,.231,3.7,22.2,22.2,91.8,50.0,21.4,28.6,42.9,0.40,0.0,0.0%,0.45,
422,Ryan Fernandez,28,STL,NL,5.2,.292,.346,.333,.679,.467,0.0,34.6,7.7,82.0,33.3,20.0,53.3,20.0,1.14,0.0,0.0%,-0.94,
423,Nick Sandlin,29,LAA,AL,5.2,.286,.429,.476,.905,.333,3.6,21.4,10.7,91.4,50.0,12.5,43.8,43.8,0.78,-0.7,-0.2%,-4.56,
424,Gavin Collyer,25,TEX,AL,5.1,.125,.364,.125,.489,.167,0.0,18.2,13.6,89.3,16.7,8.3,66.7,16.7,2.00,0.1,0.1%,2.14,
425,Coleman Crow,25,MIL,NL,5.1,.211,.238,.368,.607,.250,0.0,19.0,4.8,88.5,31.3,12.5,43.8,25.0,0.78,0.2,0.1%,1.34,
426,Hunter Gaddis,28,CLE,AL,5.1,.286,.304,.571,.876,.286,8.7,26.1,4.3,93.1,43.8,12.5,50.0,31.3,1.00,-0.2,-0.2%,-1.42,
427,Craig Kimbrel,38,NYM,NL,5.1,.278,.333,.278,.611,.417,0.0,33.3,9.5,90.2,33.3,41.7,16.7,41.7,0.20,-0.2,0.0%,1.67,
428,Burch Smith,36,DET,AL,5.1,.222,.333,.333,.667,.400,0.0,36.4,13.6,79.8,30.0,27.3,36.4,27.3,0.67,0.0,0.0%,1.24,
429,Trey Yesavage,22,TOR,AL,5.1,.200,.200,.250,.450,.235,0.0,15.0,0.0,82.7,17.6,17.6,29.4,35.3,0.45,0.3,0.1%,2.85,
430,Steven Cruz,27,KCR,AL,5.0,.318,.423,.864,1.287,.273,15.4,26.9,15.4,87.5,33.3,6.7,40.0,40.0,0.67,-0.1,-0.1%,-4.23,
431,Luis Curvelo,25,TEX,AL,5.0,.300,.364,.650,1.014,.267,9.1,13.6,9.1,91.3,47.1,23.5,23.5,47.1,0.31,0.0,0.0%,-0.72,
432,Phil Maton,33,CHC,NL,5.0,.391,.500,.696,1.196,.500,3.3,23.3,13.3,90.6,41.2,29.4,47.1,23.5,0.89,-0.6,-0.3%,-6.55,
433,Daniel Palencia,26,CHC,NL,5.0,.176,.263,.235,.498,.250,0.0,26.3,10.5,84.6,41.7,33.3,33.3,33.3,0.50,0.6,0.3%,2.95,
434,Zack Wheeler,36,PHI,NL,5.0,.188,.300,.250,.550,.273,0.0,30.0,15.0,93.1,45.5,18.2,54.5,18.2,1.20,0.1,0.0%,0.56,
435,Mason Black,26,KCR,AL,4.2,.300,.364,.350,.714,.400,0.0,22.7,9.1,88.2,33.3,40.0,20.0,33.3,0.25,0.0,0.0%,2.56,
436,Ben Casparius,27,LAD,NL,4.2,.316,.435,.474,.908,.357,4.3,17.4,17.4,88.8,26.7,20.0,26.7,53.3,0.36,-0.3,-0.1%,-1.92,
437,George Klassen,24,LAA,AL,4.2,.318,.531,.545,1.077,.400,3.1,18.8,31.3,87.5,50.0,25.0,50.0,18.8,1.14,-0.5,-0.2%,-5.45,
438,Andrew Alvarez*,27,WSN,NL,4.1,.250,.250,.375,.625,.364,0.0,31.3,0.0,82.2,27.3,27.3,54.5,9.1,1.20,0.2,0.1%,2.11,
439,Hunter Dobbins,26,STL,NL,4.1,.143,.368,.214,.583,.200,0.0,21.1,26.3,90.1,50.0,10.0,60.0,20.0,1.50,0.1,0.1%,0.70,
440,Dietrich Enns*,35,BAL,AL,4.1,.143,.350,.143,.493,.250,0.0,35.0,25.0,94.5,50.0,37.5,37.5,25.0,0.60,0.0,0.0%,0.24,
441,Michael Kelly,33,ATH,AL,4.1,.333,.455,.611,1.066,.385,4.5,18.2,18.2,85.6,42.9,35.7,28.6,14.3,0.40,-0.1,-0.1%,-0.28,
442,Trevor Martin,25,TBR,AL,4.1,.316,.381,.579,.960,.357,4.8,19.0,4.8,91.5,53.3,13.3,53.3,33.3,1.14,-0.1,-0.1%,-2.16,
443,Dylan Dodd*,28,ATL,NL,4.0,.200,.250,.267,.517,.273,0.0,25.0,6.3,88.8,27.3,27.3,36.4,27.3,0.57,-0.1,-0.1%,0.98,
444,Lázaro Estrada,27,TOR,AL,4.0,.000,.143,.000,.143,.000,0.0,21.4,14.3,72.6,22.2,33.3,44.4,0.0,1.00,0.2,0.1%,1.99,
445,Julian Fernández,30,WSN,NL,4.0,.200,.278,.400,.678,.167,5.6,16.7,11.1,86.9,53.8,0.0,23.1,61.5,0.33,0.0,0.0%,-1.01,
446,Peyton Gray,31,TEX,AL,4.0,.154,.353,.231,.584,.200,0.0,16.7,22.2,88.3,45.5,27.3,27.3,18.2,0.43,0.1,0.0%,1.75,
447,Hunter Harvey,31,CHC,NL,4.0,.294,.333,.647,.980,.273,11.1,22.2,5.6,93.2,38.5,7.7,46.2,46.2,0.86,-0.3,-0.2%,-2.77,
448,Corbin Martin,30,CHC,NL,4.0,.077,.294,.077,.371,.091,0.0,11.8,23.5,92.7,54.5,27.3,36.4,18.2,0.57,-0.2,-0.1%,0.08,
449,James McCann,36,ARI,NL,4.0,.474,.522,.737,1.259,.421,4.3,0.0,13.0,94.9,42.1,15.0,55.0,30.0,1.22,0.0,0.0%,-4.56,
450,Roddery Muñoz,26,HOU,AL,4.0,.368,.520,.947,1.467,.400,12.0,24.0,24.0,95.5,76.9,30.8,23.1,38.5,0.30,-0.3,-0.2%,-6.78,
451,Carlos Rodriguez,24,MIL,NL,4.0,.294,.294,.529,.824,.364,5.9,29.4,0.0,85.3,25.0,16.7,33.3,41.7,0.50,0.0,0.0%,1.05,
452,Elmer Rodríguez,22,NYY,AL,4.0,.267,.450,.267,.717,.333,0.0,15.0,20.0,90.2,33.3,41.7,25.0,25.0,0.33,-0.1,-0.1%,-1.22,
453,Mitch Spence,28,KCR,AL,4.0,.267,.429,.600,1.029,.250,4.8,14.3,23.8,90.8,38.5,15.4,53.8,23.1,1.17,0.0,0.0%,-3.95,
454,Zach Eflin,32,BAL,AL,3.2,.267,.353,.533,.886,.429,5.9,41.2,11.8,99.1,75.0,12.5,62.5,25.0,1.67,0.0,0.0%,0.53,
455,Seth Johnson,27,PHI,NL,3.2,.294,.429,.353,.782,.385,0.0,19.0,14.3,84.9,30.8,30.8,38.5,15.4,0.63,0.0,0.0%,-3.37,
456,Zak Kent,28,MIN,AL,3.2,.267,.450,.800,1.250,.182,10.0,10.0,25.0,94.7,61.5,30.8,38.5,30.8,0.63,0.0,0.0%,-4.33,
457,Brendon Little*,29,TOR,AL,3.2,.500,.565,1.100,1.665,.636,12.5,25.0,12.5,89.6,53.3,26.7,46.7,20.0,1.00,-1.1,-0.6%,-10.22,
458,Johan Oviedo,28,BOS,AL,3.2,.400,.444,.933,1.378,.364,11.1,16.7,5.6,92.4,61.5,7.7,46.2,38.5,0.86,0.0,0.0%,-2.06,
459,Taylor Rashi,30,ARI,NL,3.2,.214,.267,.429,.695,.222,6.7,26.7,6.7,85.3,40.0,20.0,50.0,30.0,1.00,0.0,0.1%,-2.23,
460,Joe Ross,33,ARI,NL,3.2,.389,.500,.667,1.167,.400,4.5,9.1,18.2,87.9,37.5,25.0,43.8,18.8,0.78,0.0,0.0%,-5.29,
461,Chris Roycroft,29,STL,NL,3.2,.421,.542,.579,1.121,.467,4.0,12.0,20.0,80.2,29.4,17.6,64.7,11.8,2.20,-0.3,-0.1%,-6.23,
462,Jared Shuster*,27,STL,NL,3.2,.154,.267,.231,.497,.167,0.0,6.7,13.3,88.1,50.0,0.0,58.3,33.3,1.40,0.0,0.0%,0.30,
463,Justin Verlander,43,DET,AL,3.2,.353,.421,.706,1.127,.333,5.3,5.3,10.5,93.5,56.3,37.5,18.8,37.5,0.23,-0.3,-0.1%,-3.29,
464,Austin Warren,30,NYM,NL,3.2,.154,.154,.462,.615,.143,7.7,38.5,0.0,91.1,37.5,12.5,37.5,50.0,0.60,0.1,0.0%,2.59,
465,Bailey Falter*,29,KCR,AL,3.1,.444,.500,.722,1.222,.538,5.0,20.0,10.0,86.9,21.4,50.0,21.4,28.6,0.27,0.0,0.0%,-3.99,
466,Nolan Hoffman,28,PHI,NL,3.1,.385,.400,.385,.785,.417,0.0,13.3,6.7,84.0,25.0,25.0,41.7,16.7,0.71,0.0,0.0%,0.83,
467,Ryan Johnson,23,LAA,AL,3.1,.438,.524,.688,1.211,.429,4.8,9.5,19.0,93.7,60.0,26.7,26.7,40.0,0.36,-0.3,-0.2%,-5.45,
468,Joey Lucchesi*,33,LAA,AL,3.1,.412,.583,.647,1.230,.500,4.2,16.7,25.0,95.2,69.2,15.4,69.2,15.4,2.25,-1.0,-0.6%,-6.99,
469,Eduardo Rivera*,23,BOS,AL,3.1,.100,.100,.100,.200,.143,0.0,30.0,0.0,95.5,42.9,0.0,71.4,14.3,2.50,0.0,0.0%,1.56,
470,Justin Slaten,28,BOS,AL,3.1,.167,.286,.167,.452,.286,0.0,35.7,14.3,88.5,14.3,28.6,28.6,42.9,0.40,0.0,0.0%,0.67,
471,Charlie Barnes*,30,CHC,NL,3.0,.308,.471,.385,.855,.333,0.0,5.9,17.6,92.5,41.7,41.7,41.7,8.3,0.71,0.0,0.0%,-2.41,
472,Jake Eder*,27,LAD,NL,3.0,.222,.273,.222,.495,.222,0.0,9.1,9.1,97.2,66.7,22.2,33.3,44.4,0.50,0.0,0.0%,0.59,
473,Josh Fleming*,30,TOR,AL,3.0,.429,.500,.643,1.143,.385,5.6,5.6,11.1,92.4,64.3,7.1,64.3,28.6,1.80,-0.2,-0.1%,-2.43,
474,Tyler Heineman,35,TOR,AL,3.0,.438,.471,.813,1.283,.400,5.9,0.0,5.9,93.7,62.5,43.8,18.8,31.3,0.23,0.0,0.0%,-3.47,
475,Andrew Kittredge,36,BAL,AL,3.0,.182,.250,.273,.523,.286,0.0,33.3,8.3,85.6,14.3,14.3,71.4,0.0,2.50,0.1,0.0%,1.48,
476,Jedixson Páez,22,CHW,AL,3.0,.333,.438,.833,1.271,.182,12.5,0.0,18.8,95.3,46.2,7.7,30.8,53.8,0.44,0.0,0.0%,-4.16,
477,Alan Rangel,28,PHI,NL,3.0,.250,.250,.333,.583,.429,0.0,41.7,0.0,86.1,14.3,28.6,28.6,14.3,0.40,0.0,0.0%,0.43,
478,Cam Sanders,29,PIT,NL,3.0,.333,.429,.500,.929,.500,0.0,26.7,13.3,85.2,22.2,22.2,22.2,22.2,0.33,-0.1,-0.1%,-0.27,
479,José Fermin,24,LAA,AL,2.2,.000,.200,.000,.200,.000,0.0,30.0,0.0,90.0,60.0,20.0,60.0,20.0,1.50,0.0,0.0%,1.56,
480,Tyler Gilbert*,32,CHW,AL,2.2,.333,.467,.917,1.383,.250,13.3,13.3,20.0,95.3,50.0,20.0,30.0,50.0,0.43,-0.1,0.0%,-4.50,
481,Ethan Roberts,28,CHC,NL,2.2,.125,.300,.125,.425,.167,0.0,20.0,0.0,98.0,66.7,33.3,50.0,16.7,1.00,0.0,0.0%,1.12,
482,Tyler Uberstine,27,BOS,AL,2.2,.300,.364,.700,1.064,.286,9.1,18.2,9.1,87.4,37.5,37.5,12.5,50.0,0.14,-0.2,-0.1%,-0.13,
483,Austin Voth,34,TOR,AL,2.2,.273,.333,.364,.697,.300,0.0,8.3,8.3,91.9,40.0,30.0,30.0,20.0,0.43,-0.1,0.0%,-0.38,
484,Philip Abner*,24,ARI,NL,2.1,.143,.250,.143,.393,.167,0.0,12.5,12.5,83.6,16.7,33.3,50.0,16.7,1.00,0.0,0.0%,1.62,
485,Angel Chivilli,23,NYY,AL,2.1,.222,.462,.667,1.128,.200,7.7,23.1,23.1,82.9,33.3,0.0,50.0,33.3,1.00,-0.1,-0.1%,-0.16,
486,Garrett Cleavinger*,32,TBR,AL,2.1,.333,.500,.333,.833,.429,0.0,21.4,28.6,86.3,57.1,28.6,14.3,42.9,0.20,0.0,-0.1%,-0.34,
487,Brandon Eisert*,28,CHW,AL,2.1,.545,.583,.818,1.402,.667,0.0,14.3,7.1,81.4,54.5,27.3,54.5,0.0,2.00,-0.2,-0.1%,-1.61,
488,Brian Fitzpatrick*,26,MIL,NL,2.1,.222,.364,.222,.586,.286,0.0,18.2,18.2,74.2,14.3,14.3,42.9,14.3,0.75,0.1,0.0%,1.48,
489,Jared Koenig*,32,MIL,NL,2.1,.273,.385,.455,.839,.429,0.0,30.8,15.4,98.5,71.4,28.6,57.1,14.3,1.33,-0.1,0.0%,-2.56,
490,Cody Ponce,32,TOR,AL,2.1,.111,.200,.222,.422,.167,0.0,30.0,10.0,87.9,33.3,33.3,50.0,16.7,1.00,0.0,0.0%,-0.02,
491,Trevor Richards,33,PHI,NL,2.1,.300,.364,.400,.764,.429,0.0,27.3,9.1,84.9,14.3,42.9,28.6,0.0,0.40,-0.1,0.0%,-0.54,
492,Vince Velasquez,34,CHC,NL,2.1,.125,.125,.250,.375,.143,0.0,12.5,0.0,85.4,14.3,14.3,14.3,57.1,0.17,0.0,0.0%,0.38,
493,Keegan Akin*,31,BAL,AL,2.0,.538,.538,.923,1.462,.667,7.7,23.1,0.0,92.8,40.0,40.0,30.0,20.0,0.43,0.0,0.0%,-4.40,
494,Jason Alexander,33,HOU,AL,2.0,.250,.455,.625,1.080,.167,9.1,9.1,27.3,87.1,28.6,0.0,57.1,28.6,1.33,0.0,0.0%,-4.02,
495,Mason Barnett,25,ATH,AL,2.0,.143,.333,.143,.476,.167,0.0,11.1,22.2,89.4,33.3,16.7,66.7,16.7,2.00,0.0,0.0%,0.05,
496,Brady Basso*,28,ATH,AL,2.0,.286,.250,.857,1.107,.143,12.5,0.0,0.0,96.1,75.0,50.0,12.5,37.5,0.14,-0.1,0.0%,-0.74,
497,José Buttó,28,SFG,NL,2.0,.500,.625,1.083,1.708,.800,12.5,31.3,25.0,84.2,42.9,42.9,14.3,42.9,0.17,-0.1,-0.1%,-5.68,
498,Riley Cornelio,26,WSN,NL,2.0,.400,.545,.400,.945,.333,0.0,8.3,33.3,75.7,42.9,0.0,14.3,57.1,0.25,-0.6,-0.2%,-1.98,
499,Tyler Davis,27,CHW,AL,2.0,.000,.167,.000,.167,.000,0.0,33.3,16.7,95.6,66.7,0.0,66.7,0.0,2.00,0.1,0.1%,1.37,
500,Yerry de los Santos,28,NYY,AL,2.0,.429,.556,.857,1.413,.400,11.1,11.1,22.2,88.1,16.7,0.0,83.3,16.7,5.00,0.0,0.0%,0.02,
501,Chris Devenski,35,PIT,NL,2.0,.400,.400,.400,.800,.571,0.0,30.0,0.0,94.8,57.1,42.9,42.9,0.0,0.75,-0.2,-0.1%,-2.98,
502,Joey Gerber,29,NYM,NL,2.0,.250,.333,.375,.708,.667,0.0,55.6,11.1,98.1,66.7,66.7,0.0,33.3,0.00,0.0,0.0%,0.97,
503,Seth Halvorsen,26,COL,NL,2.0,.000,.250,.000,.250,.000,0.0,25.0,25.0,95.0,50.0,25.0,75.0,0.0,3.00,0.1,0.0%,1.08,
504,Logan Henderson,24,MIL,NL,2.0,.375,.444,.500,.944,.600,0.0,33.3,11.1,88.0,40.0,40.0,20.0,40.0,0.25,-0.1,-0.1%,-1.00,
505,Alek Jacob,28,SDP,NL,2.0,.143,.333,.286,.619,.250,0.0,33.3,11.1,92.4,50.0,0.0,25.0,50.0,0.33,0.0,0.0%,1.04,
506,Luis Mey,25,CIN,NL,2.0,.143,.333,.571,.905,.000,11.1,44.4,11.1,94.3,66.7,33.3,33.3,33.3,0.50,0.0,0.0%,0.11,
507,Rolddy Muñoz,26,ATL,NL,2.0,.455,.500,.727,1.227,.571,8.3,25.0,8.3,94.2,62.5,0.0,75.0,25.0,3.00,-0.2,-0.2%,-2.01,
508,Doug Nikhazy*,26,CHW,AL,2.0,.143,.333,.143,.476,.167,0.0,11.1,22.2,89.0,33.3,0.0,83.3,16.7,5.00,0.0,0.0%,0.08,
509,Orlando Ribalta,28,WSN,NL,2.0,.167,.167,.167,.333,.200,0.0,16.7,0.0,72.1,20.0,0.0,40.0,20.0,0.67,0.5,0.2%,1.66,
510,Kendry Rojas*,23,MIN,AL,2.0,.400,.625,.600,1.225,.400,0.0,0.0,37.5,88.2,40.0,20.0,60.0,20.0,1.50,0.1,0.0%,1.00,
511,Sam Aldegheri*,24,LAA,AL,1.2,.286,.375,.714,1.089,.250,12.5,25.0,12.5,88.5,20.0,40.0,0.0,40.0,0.00,0.0,0.0%,-0.23,
512,Yaramil Hiraldo,30,BAL,AL,1.2,.375,.583,1.125,1.708,.250,16.7,16.7,33.3,92.7,66.7,33.3,0.0,66.7,0.00,-0.5,-0.3%,-3.78,
513,Alex Hoppe,27,SEA,AL,1.2,.286,.500,.286,.786,.500,0.0,30.0,30.0,100.0,75.0,50.0,50.0,0.0,1.00,0.0,0.0%,-1.57,
514,Dylan Moore,33,PHI,NL,1.2,.167,.375,.167,.542,.167,0.0,0.0,12.5,73.0,20.0,16.7,66.7,0.0,2.00,0.0,0.0%,-0.57,
515,Nick Raquet*,30,BAL,AL,1.2,.375,.500,.875,1.375,.286,10.0,0.0,10.0,91.8,37.5,25.0,12.5,62.5,0.14,-0.1,0.0%,-2.24,
516,Yacksel Ríos,33,CHC,NL,1.2,.000,.000,.000,.000,.000,0.0,40.0,0.0,90.8,33.3,33.3,33.3,33.3,0.50,0.0,0.0%,0.78,
517,Chase Lee,27,TOR,AL,1.1,.200,.200,.800,1.000,.000,20.0,20.0,0.0,87.1,50.0,25.0,25.0,50.0,0.33,0.0,0.0%,-0.24,
518,Jackson Rutledge,27,WSN,NL,1.1,.600,.667,.900,1.567,.750,0.0,16.7,16.7,85.1,37.5,12.5,75.0,12.5,3.00,0.0,0.0%,-4.91,
519,Tyler Schweitzer*,25,CHW,AL,1.1,.333,.429,.667,1.095,.400,0.0,14.3,14.3,93.2,40.0,40.0,20.0,40.0,0.25,0.0,0.0%,-0.27,
520,Christian Scott,27,NYM,NL,1.1,.000,.600,.000,.600,.000,0.0,10.0,50.0,80.6,0.0,33.3,0.0,33.3,0.00,-0.1,0.0%,-0.92,
521,Bennett Sousa*,31,HOU,AL,1.1,.250,.625,.250,.875,1.000,0.0,37.5,50.0,95.2,100.0,100.0,0.0,0.0,0.00,-0.2,-0.1%,-1.76,
522,Carlos Carrasco,39,ATL,NL,1.0,.000,.000,.000,.000,.000,0.0,33.3,0.0,103.0,100.0,50.0,50.0,0.0,1.00,0.0,0.0%,0.50,
523,Duncan Davitt,26,CHW,AL,1.0,.000,.333,.000,.333,.000,0.0,0.0,33.3,101.4,100.0,0.0,50.0,50.0,1.00,0.0,0.0%,0.49,
524,Jose Espada,29,BAL,AL,1.0,.500,.500,.500,1.000,.500,0.0,0.0,0.0,95.4,50.0,25.0,50.0,25.0,1.00,0.0,0.0%,0.49,
525,Ryan Gusto,27,MIA,NL,1.0,.000,.000,.000,.000,.000,0.0,33.3,0.0,103.6,100.0,50.0,50.0,0.0,1.00,0.1,0.0%,0.50,
526,Ian Hamilton,31,ATL,NL,1.0,.400,.571,.600,1.171,.500,0.0,14.3,28.6,94.2,50.0,50.0,50.0,0.0,1.00,-0.1,-0.1%,-2.50,
527,Brenan Hanifee,28,DET,AL,1.0,.250,.250,.250,.500,.250,0.0,0.0,0.0,92.3,33.3,0.0,50.0,25.0,1.00,0.0,0.0%,0.55,
528,P.J. Higgins,33,CIN,NL,1.0,.000,.000,.000,.000,.000,0.0,33.3,0.0,78.1,0.0,0.0,0.0,50.0,0.00,0.0,0.0%,0.54,
529,Christian Koss,28,SFG,NL,1.0,.000,.000,.000,.000,.000,0.0,0.0,0.0,86.9,33.3,0.0,33.3,66.7,0.50,0.0,0.0%,0.48,
530,Luke Little*,25,CHC,NL,1.0,.400,.400,1.000,1.400,.333,20.0,20.0,0.0,90.1,50.0,0.0,75.0,25.0,3.00,0.0,0.0%,-0.47,
531,Easton McGee,28,MIL,NL,1.0,.333,.333,.667,1.000,.333,0.0,0.0,0.0,94.7,66.7,33.3,66.7,0.0,2.00,0.0,0.0%,0.48,
532,Reese McGuire,31,CHW,AL,1.0,.000,.000,.000,.000,.000,0.0,0.0,0.0,84.0,0.0,0.0,0.0,66.7,0.00,0.0,0.0%,0.50,
533,Matt Pushard,28,STL,NL,1.0,.600,.571,.600,1.171,.600,0.0,14.3,14.3,85.2,40.0,20.0,20.0,60.0,0.25,-0.1,-0.1%,-2.52,
534,Jake Rogers,31,DET,AL,1.0,.400,.400,.400,.800,.500,0.0,20.0,0.0,85.5,50.0,25.0,50.0,0.0,1.00,0.0,0.0%,0.52,
535,Miguel Rojas,37,LAD,NL,1.0,.250,.500,.500,1.000,.250,0.0,0.0,16.7,88.9,50.0,25.0,50.0,0.0,1.00,0.0,0.0%,-0.48,
536,Jose Trevino,33,CIN,NL,1.0,.667,.667,.778,1.444,.667,0.0,0.0,0.0,91.7,55.6,55.6,33.3,11.1,0.50,0.0,0.0%,-4.45,
537,Joey Wiemer,27,WSN,NL,1.0,.500,.571,.500,1.071,.400,0.0,0.0,14.3,91.2,20.0,20.0,40.0,40.0,0.67,0.0,0.0%,-0.49,
538,Ben Williamson,25,TBR,AL,1.0,.250,.250,1.000,1.250,.000,25.0,0.0,0.0,91.7,25.0,0.0,25.0,50.0,0.33,0.0,0.0%,-0.50,
539,Weston Wilson,31,BAL,AL,1.0,.500,.500,1.250,1.750,.333,25.0,0.0,0.0,88.5,37.5,25.0,12.5,62.5,0.14,0.0,0.0%,-4.13,
540,Tyler Tolbert,28,KCR,AL,0.2,.500,.500,.500,1.000,.500,0.0,0.0,0.0,85.7,0.0,50.0,50.0,0.0,1.00,0.0,0.0%,0.27,
541,Carlos Estévez,33,KCR,AL,0.1,.800,.857,1.400,2.257,.750,14.3,0.0,28.6,94.7,80.0,40.0,20.0,20.0,0.25,-0.9,-0.3%,-5.77,
542,Adam Frazier,34,LAA,AL,0.1,.500,.667,.500,1.167,.500,0.0,0.0,33.3,81.5,50.0,0.0,50.0,50.0,1.00,0.0,0.0%,-1.23,
543,Austin Hedges,33,CLE,AL,0.1,.000,.000,.000,.000,.000,0.0,0.0,0.0,93.8,0.0,100.0,0.0,0.0,0.00,0.0,0.0%,0.43,
544,Jonathan Cannon,25,CHW,AL,0.0,,1.000,,,,0.0,0.0,100.0,,,,,,,-0.3,-0.1%,-2.66,
,MLB Average,,,,,.243,.323,.393,.715,.291,2.8,22.2,9.6,88.4,40.0,23.1,41.9,26.3,0.74,,,,
